0	丝米 分 零点五
a	AB制 N久 PUA 㱾 㶉𫛶 㻬 䕭 䴔 一 一丁点 一下 一丝一毫 一丢丢 一个 一个个 一举 一二 一些 一亩三分地 一会 一会儿 一元复始 一刹那 一口 一句 一叶知秋 一向 一员 一周 一团乱糟 一块 一塌糊涂 一大通 一失足成千古恨 一头 一套 一定 一对儿 一小部分 一席之地 一年半 一弹指顷 一手 一抿子 一改故辙 一方 一日三秋 一时 一时半会 一时半会儿 一时半刻 一时半晌 一时半霎 一星半点 一朝天子一朝臣 一波未平，一波又起 一派胡言 一派谎言 一潭死水 一点 一点就通 一点点 一瓶子不响，半瓶子晃荡 一生一世 一男半女 一眼 一箭之仇 一系列 一纸空文 一线之间 一线之隔 一线希望 一线生机 一股子 一股清流 一衣带水 一览无余 一言为重 一言既出，驷马难追 一起 一蹶不振 一身 一辈子 一连串 一锅粥 一锤子买卖 一阵 一阵子 一雨成秋 丁夫 七彩 七拼八凑 万 万人之敌 万人敌 万安 万水千山 万紫千红 万里江山 三角关系 上农 上半晌 上演 上辈子 不少 不干不净，吃了没病 不幸之幸 不当家不知柴米贵 不怕神一样的对手，就怕猪一样的队友 不急之务 不悱不发 不愤不启 不折不扣 不时之需 不是味儿 不给力 不见天日 丐帮 专业人士 世说新语 丛书 丝毫 两 两下子 两句 两步路 个中人 个体户 个展 中医 中西医 主诉 主调 主麻 久别 久已 久病成医 久违 久长 久阔 乐谱 九死一生 习作 乡戚 乡绅 书库 书社 乩童 乪 乱糟糟 乳酪饼 争分夺秒 争辩 争霸 事不关己 事不过三 二把刀 二百五 二重根 亏心 云朵 云泥之别 云片糕 云鬓 五味俱全 五彩缤纷 五色缤纷 井 些许 亡国 亮彩 亲戚 人中龙凤 人之常情 人影 人心不足蛇吞象 人情 人才济济 人无横财不富，马无夜草不肥 人权斗士 人杰地灵 人海 人潮 人肉搜索引擎 人龙 付之一叹 仙气 仙界 代书 代写 代办 代替者 以牙还牙 任重道远 伐木场 休沐 众寡悬殊 会 会子 会社 伟观 传人 传唤 传承 传教团 传真 传道 伯乐 低年级 低烧 体表 余绪 佳丽 佳评如潮 使命 使节团 供奉 供献 侦察 侦察兵 侪 便宜 便宜货 便笺 俎 俗辣 保险柜 信天游 信标 信神者 信管 俩钱 修罗场 修鞋匠 倒爷 倒立 倒行逆施 倔头 倦容 倾巢 倾盆 倾盆大雨 假日 假球 假话 儒士 儿不嫌母丑，狗不嫌家贫 儿女 元宝 先知 先知先觉 先见者 先验 克隆 全权代表 八字方针 八辈子 公决 公婆 公民义务 兰交 兰室 兰章 兰闺 共和党人 关于 关厂 关系户 关联词 兵 兵书 兵败如山倒 具体计划 兼营 内行 册子 冒头 写手 军令如山 军饷 农家乐 冰天雪地 冰山 决斗 决裂 决议 冶炼炉 冷丝丝 冷宫 冷遇 冷门 净高 凉意 几 几个 几分 几年 凡尔丁 出头 出毛病 出神入化 出缺 出路 出险 刀不磨要生锈，人不学要落后 分 分拆 分文 分类帐 分角器 分身 切切私语 刑事犯 划痕 列举 刘 刚才 创 创作 初探 利基 别论 刷 刹车 刺儿 刺青 剁手节 剂 前世姻缘 前些 前几天 前半天 前半晌 前锋 剞劂 剧照 劙 力作 加人一等 动态雕塑 励志哥 劲卒 劲草 势利眼 势力 勇士 包子有肉不在褶上 包干制 包袱 北印度语 匝月 匹偶 医托 匾额 十万八千里 十几 十数 十足 十里洋场 千乘之国 千夫 千秋 千虑一得 千里 千里寄鹅毛 千里送鹅毛 千里鹅毛 千金一诺 午前 半个人 半分 半响 半天 半晌 华佗再世 协会 单非 单音节 南腔北调 博客 卡 卡奴 卤壶 卤田 卧底 卧房 卧果儿 卧榻 卧铺 卧龙 卫舰 印 印象 危及 卷 卷帘 卷帙浩繁 卷扬 卷扬机 厂家 厂房 历史版本 厘金 厜 厣 双关语 双城记 双独夫妇 双簧 双赢 双非 反人道罪 反攻 发小 发现 发现物 发脚 发行红利股 受罪 受降仪式 受难者 受领者 变换 变数 变文 变生肘腋 变种 叛逆 口令 口味 口实 口岸 口误 古体诗 古风 另册 另案 另觅新欢 只言片语 可人 可儿 可展曲面 台蛙 叶落归根 号令如山 司空见惯 吃货 各执一词 各执己见 吆五喝六 合体字 合吃族 合营 吉它 吊 吊坠 吊塔 吊孝 吊客 吊扇 吊杆 吊梯 吊祭 吊窗 吊诡 吊门 同源 同谋 同韵词 名分 名士 名师出高徒 名胜 名酒 后天 后感 后手 后起之秀 后院起火 吐谷浑 君子一言，驷马难追 君子之交淡如水 君子动口不动手 君臣 听 听头 启事 吸血者 吹灰之力 呼声 咯噔 咾 品学兼优 哈 哑子 哑巴 哑鼓 哓 哨 哨笛 哲 哲人其萎 唁信 唁函 唁电 唐璜 唐诗 唧筒 唬 商号 啲 喜剧 喷水池 喻 嗨 嘴上没毛，办事不牢 噍类 噪杂 嚗 四方步 回函 回回 回扣 回电 因祸得福 困兽犹斗 围堰 国力 国策 圆拱 土耳其人 圣诞颂 圣贤 圭 地动山摇 地和 地步 圱 圻 坋 块体 块垒 块茎 块规 坟丘 坪 坴 垔 垫高 城邦 城郭 城门失火，殃及池鱼 基督教徒 堆 堆积如山 堕落 堭 堮 塑像 塞 增生 墦 壁橱 士为知己者死，女为悦己者容 声调 处世原则 处事原则 处堂燕雀 夏虫不可以语冰 夒 外乡人 夙愿以偿 多 多久 多多 夜行军 大一些 大丈夫 大丈夫能屈能伸 大义 大乌鸦 大人不记小人过 大勇若怯 大勇若怯，大智若愚 大国 大地主 大地线 大将 大恩不言谢 大数 大方 大智如愚 大月 大材小用 大水冲了龙王庙 大男人 大略 大福 大笑 大笔 大运 大醇小疵 大锅 大键琴 大队 大题小作 天上掉馅饼 天作之合 天和 天壤之别 天幸 天时地利人和 天涯 天生一对 天穿日 天经地义 天量 天险 太保 太半 太极剑 太极拳 太爷 夫妇 夯 失之毫厘，差之千里 失之毫厘，差以千里 失之毫厘，谬以千里 失手 失枕 失灵 失独家庭 头 头冠 夹杂 夹道 奇珍 奇耻大辱 奋武扬威 奋起 契 套中人 套数 套服 套筒 套索 套结 套绳 套衫 套衫儿 套裙 套购 奠 奠仪 奠酒 奢丽 女同 女子无才便是德 女杰 女生外向 女警员 奸党 奸官 奸徒 奸民 奸细 奸臣 奸诈 奸贼 奸邪 好事不出门，恶事传千里 好些 好景不长 好朋友 好样的 好梦难成 好汉不吃眼前亏 好汉不提当年勇 好汉做事好汉当 好男不跟女斗 好话 如雷贯耳 妄想 妄生穿凿 妆容 妇孺皆知 妙品 妥协 妻离子散 姻缘 嫁鸡随鸡 嫌疑人 嫌疑犯 嫭 孀闺 存亡攸关 季后赛 季子 季诺 孤男寡女 学区房 学报 学问 孽海花 宅男 宇文 守卫者 守旧派 安民告示 官官相护 官职 官逼民反 定律 宝地 宝妈 宝爸 审判 宣读 家喻户晓 家族树 家爷 家老 家计 宾客盈门 宾朋满座 宾朋盈门 宾至如归 寄托 寄语 密室 寒噤 寒意 寒气 寒窗 寒蝉 寸 寸阴 对价 对合 对应词 对接 对撞机 对角线 寿堂 封土 射影变换 将 将令 小case 小事一桩 小产 小人物 小儿科 小半 小卒 小号 小康 小桥流水 小油菜 小洞不补大洞吃苦 小混混 小滴 小节 小菜一碟 小辫子 小量 小钱 尐 少刻 少许 少选 少部分 少量 少间 尚书经 尤 尺 尺牍 尺素 尽人皆知 尾牙 局中人 屁 屁墩儿 屁股蹲儿 屄样儿 居心 屋架 屎 屡见不鲜 履舄交错 山寨货 山泥倾泻 山阿 山颓木坏 屺 岗位 巟 工作队 工具人 左券 巧手 巨子 巨额 差 差之毫厘，失之千里 差之毫厘，谬以千里 布巾 希伯来人 希望 帣 带路人 席位 常在河边走，哪有不湿鞋 常数 常量 幞头 幮 干咳 干打雷，不下雨 干燥机 平局 平庸之辈 平面图 平面波 年代 年刊 年头 幸事 幺二 幻想 广告 广柑 庉 废物点心 废话连篇 废铜烂铁 庠 度日如年 廆 开光 开口子 开门红 异乡 异事 异端者 异象 弓 引而不发 弥天大谎 弥望 弦月窗 弯 弹珠 强人 强队 归属 当世之冠 当世冠 当务之急 当地居民 录屏 影印本 影片 征发 律条 得志 得罪 得道多助 得道多助，失道寡助 微乎其微 微火 微量 微雕 德高望重 徻 心事 心心相印 心理作用 心结 心静自然凉 志工 忠告 快感 思之心痛 思密达 性命攸关 怵目惊心 总览 恍然醒悟 恨事 恩人 恩同再造 悠悠 患病者 患难之交 惊叹 惠而不费 感受 感遇诗 愿心 慈善抽奖 慕容 慢半拍 慢性子 慢跑 憾事 懒猫 懒腰 懒驴上磨屎尿多 戎事倥偬 戏仿 戏剧 成书 成例 成品 成百上千 戒忌 或称 战团 战旗 战略家 戣 户 房奴 所有物 手机条码 才 打 打来回 打瓜 打赌 托 扫 扭伤 批发商 批改 把儿 抑扬 抒写 投影 抗辩 折中 折刀儿 折本 折钱 抢手货 护航 报单 报料 报税表 抱枕 抽动 抽奖 抽签 拈指 拉手 拉锯 招 招待会 招牌菜 拟作 拟古之作 拟合 拦河坝 拱璧 拱肩 拱顶 拾芥 指南车 指控 按揭 挤兑 挫败 挽歌 捆 捐班 换汤不换药 掉书袋 排 排场 排射 排气孔 排舞 排面 排骨精 掣电 接龙 控件 提列 提成 提手 提灯 提箱 提篮 提篮儿 提级 援助之手 援手 搜捕 搭扣 搭钩 摆 摊头 摞 摩尔人 摩睺罗伽 摩肩接踵 撑杆 擦枪走火 收藏 收藏家 改口费 攺 放长线钓大鱼 故知 故纸堆 救生筏 教 教案 教训 敝屣 敝帚自珍 敞篷车 敢做敢当 数 数码扫描 数见不鲜 敲丧钟 敲山震虎 敲打锣鼓 敷粉 敷陈 文学士 文山会海 文本 文童 斋期 斗争 斗筲之人 斜射球 斜杠青年 斜视 断线风筝 新丁 方圆 旅游客 旅游热点 旋 旋乾转坤 旋转曲面 旗手 无伴奏合唱 无利 无名小卒 无支祁 无敌 无毒不丈夫 无的放矢 无线电 日前 日子 日本国志 日落风生 旧病复发 早些 早点儿 昆 明哲保身 明细表 星星 星星之火 星星之火，可以燎原 春光 春秋 显效 显赫人物 普桑 普渡 晴空万里 暂息 暖男 暗无天日 暗疾 暗箭 暴民 暴洪 曙光 更生 更胜一筹 替补 月事 月经 有一点 有一点儿 有仇不报非君子 有志者事竟成 有点 有点儿 有识之士 望文生义 朝拜 朝拜圣山 朝气蓬勃 朝鲜人 期 木锯 木齿耙 未亡人 本家 本草 札 机床 机杼 机械工 杀人不过头点地 杀菌剂 杂七杂八 杂剧 杂噪 杂烩 杂糅 杂耍 杂记 杂集 杂食 杆秤 李鬼 材 杖 杞妇 杞梓之林 束狭 杠头 条形 杯托 杯酒解怨 杯酒言欢 杸 杽 板胡 极少数 枕石漱流 林 枪击案 枪匪 枪支 枪枝 某 某事 某人 柘 柦 柴鸡 标架 标点 标点符号 栈 栈径 栈桥 栐 株 核大国 核试爆 根式 栽种机 桃花运 框框 桥头 梃 梆子腔 梳 检定 棂 棋 棋子 棹 椊 椰子 楬 楼房 概型 榆木脑壳 榤 槎 槛花笼鹤 槢 樗蒱 樘 横切 樶 橎 橕 橛 櫠 櫹 欢 欢笑 欲盖弥彰 款子 款项 歇 歌筵 正方体 正脸 步 步武 武侠小说 歪歪斜斜 死无葬身之地 死里逃生 殉难 殊色 残疾儿 殡 殡仪馆 段子手 段氏 毒剂 毒奶 毛根 毪 毪子 毫发 毽子 毾 民生凋敝 气候学家 气头上 气象学者 氢氧化物 水平 永不生锈的螺丝钉 永久磁铁 汀曲 汇点 汉姓 汉白玉 污吏 沆 沉船事故 沙坝 沙特阿拉伯人 沙瓦 沥 沧桑感 沱茶 油锅 油鸡 泉石膏肓 法家 泛函 泛音 泜 泭 泰半 泻 洋场恶少 洗脸盘 洞窟 津 津梁 洪流 洪福齐天 洫 活口 活神仙 活结 活菩萨 活雷锋 流辈 测地线 测试 浏览软件 浪子回头金不换 浴血苦战 涂白剂 消愁解闷 涉众 涉水鸟 涓涓 涕泗滂沱 涧峡 涮锅子 液 淘汰赛 深喉 深谋远略 淼 清一色 清扫 清玩 渧 渨 游人 游侠骑士 游鱼 源远流长 溟海 溥俊 滑梯 滑竿 滑铁卢 满人 满口 满嘴 满堂 满堂彩 满汉全席 满盘 满目琳琅 满目疮痍 滤清器 滤网 滴 滴石 漎 漏失 漏泄 漖 漫步者 潘多拉魔盒 潜舰 潮虫 灥 火海 火锅 火龙 灰姑娘 灵光 灵怪 灵感 灵机一动 灵棺 灵犀 灵猫类 灵符 灼伤 炙手可热 炮钎 点 点滴 点睛之笔 点评 炼珍 烂舌头 烈女 烘云托月 烘托 烧锅 热度 热捧 热身赛 热锅上的蚂蚁 煆 煤层 煤田 照会 照壁 照本宣科 照片底版 熏染 熙来攘往 燕雀处堂 爆冷 爆冷门 爱河 片 片刻 片时 版 版画 牌戏 牙祭 牝牡骊黄 牝鸡司晨 牝鸡牡鸣 牧神 物美价廉 牵头 特色 犯罪团伙 犯规 犹太复国主义者 狈 狐朋狗友 狐群狗党 狗仗人势 狗咬吕洞宾，不识好人心 狗头军师 狗急跳墙 狗男女 狡兔三窟 独在异乡为异客 独女 独子 独断专行 独断独行 独木不成林 独生女 独生子 猃 猪仔包 猪精 献礼 猱 猵 獍 玉人 王炸 玗 玞 玢 环保斗士 环箍 环节 玻璃球 玿 珅 珍宝 珍藏 珍馐美味 珍馐美馔 珒 珚 珝 珦 班务会 珷 珹 理想 琈 琴键 瑟 瑧 瑰宝 瑿 璮 璺 瓜 瓜代 瓜娃子 瓿 甋 甏 甘之如饴 甚嚣尘上 生死肉骨 生路 甲级战犯 申令 电传 电唁 电站 电缆塔 男人 男人家 男儿 男子 男性 男高音 画龙点睛 留传 留别 留影 留芳千古 留芳百世 畚 畚箕 略 略微 略知皮毛 略胜一筹 略释 番 畸胎 畹 疑义 疑云 疑团 疑案 疑点 疑犯 疑狱 疑阵 疫病 疮痍满目 病包儿 病原菌 病友 病家 痏 痛改前非 痨病鬼 痴人痴福 瘜 瘦死的骆驼比马大 瘸腿 白拣 白璧微瑕 白眼 白茫茫 白菜型油菜 白马王子 白驹过隙 百余 百倍 百儿八十 百分之百 百十 百家争鸣 百年大计 百废待举 百废待兴 百端待举 百花齐放 百花齐放，百家争鸣 百足之虫死而不僵 的 皈依者 皮外伤 皮带传动 皮疹 皮革商 盏 盐池 盐碱湿地 监押 盖门 盛世 盛况空前 盛季 目不暇接 目不暇给 目迷五色 直掇 直播间 直敪 直笔 直角 直角器 直角尺 省 省垣 省治 看鸟人 真人 眼 眼中刺 眼中钉 眼中钉，肉中刺 眼福 着 着眼点 着色书 睚眦 瞎猫碰上死耗子 短程线 短距离 矮个儿 石罅 矿 矿井 矿场 砆 研究 砢 砬 破洞 破财免灾 破镜重圆 硬骨头 碑 碑帖 碑记 碔 碧空 磥 磨刀不误砍柴工 磨制石器 磨难 磪 礓 示威 示范 示警 礼仪之邦 票证 禁伐 禁食 禅房 禅林 福星高照 福气 秀才 秀才不出门，全知天下事 秀才不出门，能知天下事 秀色可餐 私人 秃发 科技脸 科研小组 秘密 秘密会社 秘本 秘藏 秤杆 积非成是 稍 稍嫌 稍微 稍早 稍早时 稍稍 稍许 税官 稳拿 稳步 穷乡僻壤 穷鼠啮狸 穹窿 穹肋 空巢 窍门 窍门儿 窝囊废 窝窝头 窸窣 站点 竹舆 笄蛭 笑柄 笔仙 笔记 笔误 笞杖 符板 符牌 第二春 笼鸟 筃 等同语 筐箧中物 筒阀 筛 简史 简帖 简帖儿 箔篱 篃 篆刻 篱 篾 簿 簿册 籁 粑 粩 精讲多练 糊涂账 紟 素颜 紧箍咒 紫砂 累赘 絮片 絮状物 緪 繁星 繁花 繘 繨 纠合 红不让 红人 红晕 红楼梦 红颜 约会对象 约定 纯情 纯素食者 纸包不住火 纸片 纸短情长 纹丝 组合拳 经济体 绑架 结晶体 结界 绕嘴 绝世佳人 绝域 绞索 统配 统铺 绳梯 绳索套 绵里藏针 综合叙述 综述 绿茶 缩头乌龟 缺位 缺德事 缺德鬼 缺憾 罗圈架 罗城 罗锅 罗锅桥 罚锾 罢了 罢工 罩 罪案 罱 美事 美人坯子 美国佬 美差事 美帝 美梦成真 羞惭 群山 群英会 翘板 翻拍 翻新 老半天 老古板 老墨 老帽儿 老早 老江湖 老牛吃嫩草 老生常谈 耍嘴皮 耙 耙子 耠 耢 耦 耲耙 耳光 耳刮子 耳目一新 耳语 耶稣会士 耶酥会士 聒噪 联机游戏 聚伙 聪明反被聪明误 肉中刺 肉酱 肙 股份 肥肉 背篓 胖墩儿 胶接 胶结 脓包 脱水机 脱缰野马 腐蚀剂 腔调 腹笥便便 膻 臇 自学成才 自拍 自杀式炸弹 臭子儿 致谢 臾 臾须 舋 船闸 艅艎 艜 良久 良工心苦 良机 良禽择木 良禽择木而栖 良药 色厉内荏 节上生枝 节流 节流阀 节目 芔 芕 芞 花有重开日，人无再少年 花朝月夕 花烛 花花肠子 芽苗 若干 苦笑 英雄无用武之地 茅塞顿开 茔 茶叙 荆棘载途 草包 草图 草耙 草莽 荣禄大夫 荧 荧光灯 荧荧 药片 莘莘学子 菜包子 萑 萝莉 落汤鸡 落落难合 蒯 蓒 蓔 蓝田种玉 蔯 蕔 薄脆 藒车 蘘 蘻 虎毒不食子 虎蹲炮 虚不受补 虚有其表 虾男 蚆 蚍蜉 蚕眠 蚽 蛅 蛔虫 蛘 蛟 蛩 蜒蚰 蝍 融合 融炉 融雪 融雪天气 蟊贼 蠩 血债血偿 血债要用血来偿 血债要用血来还 衅 行头 行百里者半九十 衍生物 补牙 表 衰退 袆 被自杀 袱 裍 裛 襆 西医 覆辙 观落阴 规 规划 视窗 觉 解 解剖室 解闷 觥筹交错 触目惊心 认脚鞋 讨好 讨嫌 让步 训导职务 训读 记事簿 讲坛 讲话 讲道 许多 评点 识时务者为俊杰 词 译词 试车 诗曰 诗篇 诗话 诛心之论 话到嘴边留三分 话柄 诤友 误工 诳语 诸多 诸葛亮 调遣 谗佞 谗谄 谪仙 谽 豁然 豆蔻 豖 豦 豺狼塞路 豺狼当涂 豺狼当路 豺狼当道 贤内助 贤士 贤妻良母 贤才 贤淑仁慈 败笔 账册 账房 账簿 质子 质量块 贬官 贯穿 贴文 贷 贷款 贻笑方家 贿赂 资料片 资治通鉴 赏 赏赐 走嘴 走子 走来回 走眼 走秀 走线 走马观花 起因 起色 超译 趒 趟 足球 跃进 跤 跪毯 路人皆知 跳绳 身后 身正不怕影子斜 身段 身败名裂 輤 车籍 轧钢厂 轧钢机 轨道 转机 转车 转车台 软木塞 轰然 轻薄 轻车熟路 载具 载酒问字 辙 辩答 辫 辫子 过路人 运筹帷幄之中，决胜千里之外 近体诗 近景 近道 进退 远亲 远亲不如近邻 远房 远方 远水不解近渴 远水救不了近火 远祖 远行 远谋 远门 连串 连招 连缀 连衣裙 迷幻剂 迷津 迷魂香 迷鸟 追补 退路 送股 适才 逆流 逆行倒施 逆风 逆鳞 选录 选票 通便剂 通史 通气孔 通融 通行证 通讯社 遐年 道 道教徒 遥控器 遥遥领先 遭瘟 避难所 邙山行 郎 郑人争年 鄙视链 酒逢知己千杯少 醉翁之意不在酒 释家 重名 野人 金小蜂 金屋藏娇 金瓜 金童玉女 金蝉脱壳 釜底游鱼 釪 鋊 鍐 鏖战 钎 钞票 钟 钟馗 钢厂 钭 钵 钻井 钻牛角 钻牛角尖 铁律 铁树开花 铁票 铁票区 铁箱 铭刻 铮铮铁汉 银河星云 铸件 销子 锁 锁头 锁定 锄 错案 锤头鲨 锦衣玉食 锯 锯子 锯工 锯木架 锯条 锯架 镐 长者 长谈 门庭若市 闪 闪亮 闪射 问罪之师 问鼎轻重 间断 闺窗 闻一知十 阉 阉人 阴桫 阴谋 阴阳合同 阵线 阹 阿卡贝拉 阿罗汉 阿鲁巴 陈账 陪衬 陶俑 隐事 隐患 隐情 隐然 隐衷 隐颧 隐饰 隒 隔世 隘 隶 难言之隐 雀 雀子 雅歌 集体 集录 集锦 雌雄同体人 雕塑 雕版 雗 雚菌 雪泥鸿爪 零乱 零点五 雷剧 霉气 霞径 露水夫妻 霸主 霸王鞭 青梅竹马 青草茶 静点 非正数 非负数 革命家 鞃 鞍鞯 鞍韂 鞑 鞬 韎 音乐剧 音级 韵人韵事 顷 顷者 顺子 顿悟 顿挫 预印本 颇多 颠覆分子 风平浪静 风恬浪静 风景线 风火轮 飞刀 飞符 食顷 飨宴 饭桶 饵丝 饹馇 饿莩遍野 馉饳 馎饦 香会 香几 香包 香娇玉嫩 香巢 香格里拉 香炉 香闺 马后炮 马大哈 驮运路 驯马 驳 驳岸 驳词 驴肝肺 驾轻就熟 骉 骊黄牝牡 验方 验算 验钞机 骗人 骗子 骗局 骘 骚乱者 骜 骨头架子 骴 骷髅头 高人一等 高位 高僧 高热 高风峻节 髲 鬟 鬯 鰅 鰦 鱼死网破 鱼肚 鲠 鳠 鳦 鴠 鵙 鵺 鶗 鷾 鸟道 鸡娃 鸡毛店 鸡飞蛋打 鸨母 鸱甍 鹌鹑馉饳儿 鹢 鹤立鸡群 麃 麻醉剂 黄土不露天 黄花 黈 黑光灯 黑卡 黑灯 鼎沸 鼓包 鼓楼 鼓风 鼓风炉 鼠辈 鼭 鼻儿 鼻涕虫 鼻青眼肿 鼻青脸肿 鼻韵母 龖 龟苓膏 𦈌 𫘦𬳿 𬬮 𬶍 𬶏
aa	三号电池 五号电池
aaa	七号电池 四号电池
aachen	亚琛 阿亨
aalen	阿伦
aardvark	土猪 土豚
aardwolf	土狼
aarhus	奥胡斯
aaron	亚伦 炎亚纶
ab	自始
aba	阿巴
abaca	蕉麻
abacus	九归 算盘 顶板
abag	阿巴嘎旗
abalone	九孔 鲍 鲍鱼
abandon	买笑追欢
abandoned	僵尸车 废 弃婴 弃子 弃樱 弃用 熟荒 罢论
abatis	鹿角
abattoir	屠刀 屠场 屠宰场
abba	阿爸 阿爸父
abbas	阿巴斯
abbasid	阿拔斯王朝
abbey	僧院 大修道院 大寺院 隐修院
abbot	住持 大修道院长 方丈 男修道院长 院牧
