sentence_id	raw_text
semeval2013.d005.s016	Professor Donohue said some appeals judges might be intrigued by the idea that limiting instant communication from courtrooms might make trials fairer .
semeval2013.d005.s017	The Twitter issue is just one of many outlined by Mr. Hayes 's lawyers that are likely to be argued for years , delaying an execution .
semeval2013.d005.s018	The defense lawyers also claim , for example , that Mr. Hayes may have been prejudiced when Judge Blue declined to allow them to test potential jurors ' reactions by showing them grisly crime-scene photographs during jury selection .
semeval2013.d005.s019	Some of the jurors have said they were horrified by the photographs of the victims , Jennifer Hawke-Petit , 48 , and her daughters , Hayley , 17 , and Michaela , 11 .
semeval2013.d005.s020	The defense lawyers say they will also challenge the constitutionality of the death penalty and argue that the judge wrongly removed a juror who had been critical of prosecutors and that he improperly added pressure for a verdict by his unusual decision to direct the jury to deliberate over a weekend .
semeval2013.d005.s021	The jurors were not sequestered .
semeval2013.d005.s022	But their arguments about the effect of the intense coverage of the trial may draw the most interest .
semeval2013.d005.s023	They noted in a challenge to the verdict filed last month that the case dominated the news in Connecticut and was discussed during the election campaign by candidates for governor and the United States Senate .
semeval2013.d005.s024	They argued that the news media continually fanned the flames of emotion about the case .
semeval2013.d005.s025	`` The daily crush of media tweets , cameras and reporters outside the courthouse , '' the lawyers wrote , `` was unlike anything ever seen here in New Haven and maybe statewide . ''
semeval2013.d005.s026	Their focus on the Twitter coverage is controversial .
semeval2013.d005.s027	In interviews , some journalists said the claim that instant news was more incendiary than reports delivered more slowly was a Luddite view that would make poor court policy governing coverage of future trials .
semeval2013.d005.s028	But some lawyers said appeals courts were often attracted to arguments that social and technological changes required adaptation by the courts .
semeval2013.d005.s029	Mr. Hayes 's lawyers are pressing that claim .
semeval2013.d005.s030	In their filing , they referred to the Supreme Court 's 1966 decision overturning Dr. Sheppard 's conviction because of the trial coverage and made it clear they would claim that the new media required new rules .
semeval2013.d005.s031	`` This case , '' they wrote , `` represents the Sheppard v. Maxwell of the 21st century . ''
semeval2013.d006.s000	Sport and fraud law
semeval2013.d006.s001	Tricks such as those of Alonso and Ramos before the Ajax demonstrate wittiness but not the will to get remove of a sanction .
semeval2013.d006.s002	The expulsion presumably forged by two players of Real Madrid ( Xabi Alonso and Sergio Ramos ) in the game played on the 23rd of November against Ajax in European Champions League has caused rivers of ink to be written about if such behavior is or is not unsportsmanlike and if , both players should be sanctioned by UEFA .
semeval2013.d006.s003	As we all know , a few minutes before the end of the game ( that their team had already won ) , both players deliberately wasted time which made the referee show the second yellow card to both of them .
semeval2013.d006.s004	This way , and since Real Madrid will finish as leader of its group , both players will fulfil the prescribed sanction during the next game of league , against Auxerre , and will be able to get rid of the cards the following phase .
semeval2013.d006.s005	Finally , the committee of discipline of the UEFA has sanctioned with two games the trainer of the team , Jose Mourinho , and with different economic amounts the implied players .
semeval2013.d006.s006	The provocation of a yellow card in similar circumstances as this one is not a new practice , but rather frequent in the world of football .
semeval2013.d006.s007	It is so extended that it part of the ethos , of the unwritten rules , but followed nonetheless by this sport .
semeval2013.d006.s008	Part of the debate arisen in the related case is caused by the fact that has been carried out by team of the Real Madrid organization ( that in its hymn presumes of nobility and honor , and that has fined its players for analogous acts ) and by the dramatization orchestrated , apparently , by Mourinho , who adds one more to his expanded history of histrionic and provoking technician .
semeval2013.d006.s009	Anyway , the debate deals with if that type of behavior not prohibited specifically by the regulation contradicts the principles of the sport , that is to say , if with these actions fraud is committed ; then , indeed , they are respectful actions with the sport regulation , but they seem to elude its sense .
semeval2013.d006.s010	The matter examines the type of damage that is brought to the sporting spirit .
semeval2013.d006.s011	One of the advantages that include the sport spirit is the physical integrity of the opposite players , aspect that with these actions was n't put into danger , that is to say , there was no violent game .
semeval2013.d006.s012	Another of these advantages to which it is alluded to with the fare-play is to avoid that the team of the lawbreaker players takes advantage unjustly of the opposite team , which did not happen either .
semeval2013.d006.s013	However , the paradoxical thing about the action of the players of Real Madrid is that it did not comply to what we normally characterize as legal fraud , because the violation of the rules was not made secretly as to try to avoid the sanction , but their action was most evident and thus they received punishment from the referee .
semeval2013.d006.s014	They waited for and accepted the sanction with no complaints .
semeval2013.d006.s015	Another question is what type of advantage the violators obtained in the actions deliberately carried out .
semeval2013.d006.s016	Here it seems necessary to state that it is n't a disadvantageous situation for rival nor is an obtained benefit in the same game , because evidently the result of the action supposes leaving their own team with less players .
semeval2013.d006.s017	And neither is it a useful strategy for the next game , because the club will not be able to count on those players .
semeval2013.d006.s018	The advantage , obviously , consists in the fact that the players will begin the following phase of the Championship without cards that could threaten their participation in a future game .
semeval2013.d006.s019	But it is about a long term advantage , with a certain degree of indetermination , because the team can be eliminated first of change , and in addition with this action the players fulfil a sanction game and go to the second cycle of cards , in which the suspension by card accumulation takes place with one less than in the first cycle .
semeval2013.d006.s020	So that , by passing rounds , it is not so clear that it is an advantage .
semeval2013.d006.s021	Those actions are really against the sporting spirit , which is part of the strategic decisions that favor taking advantages allowed by the rules .
semeval2013.d006.s022	Regarding this assumption , the players did not act in order to avoid the application of the sanction ( this would have been a clear case of legal fraud ) , but rather chosen when to obey it .
semeval2013.d006.s023	They made a strategic decision without avoiding the punishment .
semeval2013.d006.s024	Although the border between the wittiness and the law fraud is diffuse , in this occasion I believe it was a clear case of wittiness .
semeval2013.d006.s025	The controversy seems to arise from two factors : because it was about two auto expulsions and the way the transmission of the directive was carried out to cause them .
semeval2013.d006.s026	The damage brought about to the principles of the sport by these actions is not as much ethical as aesthetic .
semeval2013.d007.s000	Arsenic-tolerant microbe raises possibility of new types of life on Earth , or elsewhere
semeval2013.d007.s001	The discovery of a strange bacteria that can use arsenic as one of its nutrients widens the scope for finding new forms of life on Earth and possibly beyond .
semeval2013.d007.s002	While researchers discovered the unusual bacteria here in Earth , they say it shows that life has possibilities beyond the major elements that have been considered essential .
semeval2013.d007.s003	`` This organism has dual capability . ''
semeval2013.d007.s004	`` It can grow with either phosphorus or arsenic . ''
semeval2013.d007.s005	`` That makes it very peculiar , though it falls short of being some form of truly ` alien ' life , '' commented Paul C. W. Davies of Arizona State University , a co-author of the report appearing in Thursday 's online edition of the journal Science .
semeval2013.d007.s006	Six major elements have long been considered essential for life - carbon , hydrogen , nitrogen , oxygen , phosphorus and sulfur .
semeval2013.d007.s007	But the researchers found that the bacteria , discovered in Mono Lake , Calif. , is able to continue to grow after substituting arsenic for phosphorus .
semeval2013.d007.s008	`` It makes you wonder what else is possible , '' said Ariel D. Anbar of Arizona State University , a co-author of the report .
semeval2013.d007.s009	The find is important in the search for life beyond Earth because researchers need to be able to recognize life , to know what life looks like , Anbar said .
semeval2013.d007.s010	The study focuses on a microbe found on Earth .
semeval2013.d007.s011	However , the announcement of a news conference to discuss it , which did not disclose details of the find , generated widespread speculation on the Internet that the report would disclose the discovery of extraterrestrial life .
semeval2013.d007.s013	The discovery `` does show that in other planetary environments organisms might be able to use other elements to drive biochemistry and that the ` standard ' set of elements we think are absolutely necessary for life might not be so fixed , '' commented Charles Cockell , professor at Planetary and Space Sciences Research Institute , Open University , in Milton Keynes , United Kingdom .
semeval2013.d007.s014	Cockell was not part of the research team .
semeval2013.d007.s015	`` This work is novel because it shows the substitution of one element for another in fundamental biochemistry and biochemical structure , '' added Cockell .
semeval2013.d007.s016	It was n't a chance discovery .
semeval2013.d007.s017	Felisa Wolfe-Simon of NASA 's Astrobiology Institute , who led the study , targeted Mono Lake because it has high arsenic levels .
semeval2013.d007.s018	Arsenic and phosphorus are chemically similar , so she speculated that a microbe exposed to both might be able to substitute one for the other .
semeval2013.d007.s019	`` Arsenic is toxic mainly because its chemical behavior is so similar to that of phosphorus . ''
semeval2013.d007.s020	`` As a result , organisms have a hard time telling these elements apart . ''
semeval2013.d007.s021	`` But arsenic is different enough that it does n't work as well as phosphorus , so it gets in there and sort of gums up the works of our biochemical machinery , '' explained Anbar .
semeval2013.d007.s022	The researchers collected the bacteria known as GFAJ-1 and exposed it to increasing concentrations of arsenic , which it was able to adapt to and grow .
semeval2013.d007.s023	The microbe does grow better on phosphorus , but showing that it can live with arsenic instead raises the possibility that a life form using arsenic could occur naturally , either elsewhere on Earth or on another planet or moon where arsenic is more common .
semeval2013.d007.s024	Jamie S. Foster , an assistant professor of microbiology at the University of Florida , said the idea that arsenic could be substituted for phosphorus is n't new , but there has never been example where it was shown to work .
semeval2013.d007.s025	Arsenic was more common in the early times on Earth , she said , so researchers have speculated that early life forms might have used it .
semeval2013.d007.s026	`` It does suggest that that there could be other ways to form life , not just how life formed on early Earth , '' said Foster , who was not part of Wolfe-Simon 's research team .
semeval2013.d007.s027	The research was supported by NASA , the Department of Energy and the National Institutes of Health .
semeval2013.d008.s000	The democratic routine
semeval2013.d008.s001	Support for democracy in Latin America continues to edge up , as does backing for private enterprise .
semeval2013.d008.s002	Crime has become a bigger worry than unemployment .
semeval2013.d008.s003	And Brazil is seen as more influential than the United States across much of the region .
semeval2013.d008.s004	Those are some of the findings of the latest Latinobarómetro poll taken in 18 countries and published exclusively by The Economist .
semeval2013.d008.s005	Because the poll has been taken regularly since 1995 , it tracks changes in attitude across the region .
semeval2013.d008.s006	Two related things stand out in the results of this year 's poll , taken in September and early October .
semeval2013.d008.s007	The first is Latin America 's fairly sunny mood .
semeval2013.d008.s008	The second is the increasing stability of attitudes towards democracy and its core institutions .
semeval2013.d008.s009	Support for democracy has risen noticeably in several countries on the Pacific rim of South America ( see table 1 ) .
semeval2013.d008.s010	For example in Peru , where economic growth has averaged 6 % a year since 2002 , support for democracy has risen from a low of 40 % in 2005 to 61 % this year .
semeval2013.d008.s011	It also rose in Mexico , where the economy has recovered after suffering a big drop in output last year .
semeval2013.d008.s012	But only around half of respondents in Mexico and Brazil , the region 's two most populous countries , are convinced democrats , which drags down the regional average ( see chart 2 ) .
semeval2013.d008.s013	Some 44 % of respondents across the region pronounced themselves satisfied with how their country 's democracy works in practice , the same figure as last year but a big increase on the 25 % in 2001 ( chart 3 ) .
semeval2013.d008.s014	Some 34 % said they had confidence in their country 's Congress and 45 % in their government , the same as last year in both cases but up sharply from 2003 ( 17 % and 24 % respectively ) .
semeval2013.d008.s015	A decade ago economic woes in Latin America undermined support for democracy .
semeval2013.d008.s016	That it has held up during the world financial crisis is probably because many Latin American countries suffered only a brief recession and have enjoyed a strong recovery .
semeval2013.d008.s017	In addition , a stronger social safety net has helped to shield the poor .
semeval2013.d008.s018	( The United Nations ' Economic Commission for Latin America reported this week that the proportion of Latin Americans living in poverty rose only marginally in 2009 and has fallen again this year , to 32 % . -RRB-
semeval2013.d008.s019	But the mood varies widely from country to country ( see chart 4 ) .
semeval2013.d008.s020	Brazil 's strong economic performance and the popularity of its outgoing president , Luiz Inácio Lula da Silva , is reflected in a widely shared sense of progress .
semeval2013.d008.s021	That is scarcer in Mexico and Central America , where the recession was more severe and violent crime has worsened .
semeval2013.d008.s022	For only the second time since the polls began , more respondents across Latin America as a whole cite crime , rather than unemployment , as the most important problem facing their country ( see chart 5 ) .
semeval2013.d008.s023	Some 31 % say that either they or a close relative have been victims of crime over the past year , but that is down from 38 % last year and is the lowest figure since 1995 .
semeval2013.d008.s024	A more robust economic performance is reflected in rising support for private enterprise and the market economy : some 71 % of respondents across the region say that private enterprise is indispensable for development , up from 56 % in 2007 ( see chart 6 ) .
semeval2013.d008.s025	Some 58 % agree that the market economy is the only system that will make their country developed , up from 47 % last year .
semeval2013.d008.s026	Interestingly , 62 % of respondents in Venezuela hold that view ( and 80 % there back private enterprise ) even though their left-wing president , Hugo Chávez , is expropriating many private companies .
semeval2013.d008.s027	Brazil is the country which exercises most leadership in the region , mentioned by 19 % of respondents ( up from 18 % last year ) , followed by the United States ( 9 % , unchanged from last year ) and Venezuela ( 9 % , down from 11 % last year ) .
semeval2013.d008.s028	But the United States is seen as the most influential country by respondents in Mexico and much of Central America , whereas Venezuela enjoys that distinction in Ecuador , the Dominican Republic and Nicaragua .
semeval2013.d009.s000	Scalia and Thomas dine with healthcare law challengers as court takes case
semeval2013.d009.s001	The day the Supreme Court gathered behind closed doors to consider the politically divisive question of whether it would hear a challenge to President Obama 's healthcare law , two of its justices , Antonin Scalia and Clarence Thomas , were feted at a dinner sponsored by the law firm that will argue the case before the high court .
semeval2013.d009.s002	The occasion was last Thursday , when all nine justices met for a conference to pour over the petitions for review .
semeval2013.d009.s003	One of the cases at issue was a suit brought by 26 states challenging the sweeping healthcare overhaul passed by Congress last year , a law that has been a rallying cry for conservative activists nationwide .
semeval2013.d009.s004	The justices agreed to hear the suit ; indeed , a landmark 5.5 - hour argument is expected in March , and the outcome is likely to further roil the 2012 presidential race , which will be in full swing by the time the court 's decision is released .
semeval2013.d009.s005	The lawyer who will stand before the court and argue that the law should be thrown out is likely to be Paul Clement , who served as U.S. solicitor general during the George W. Bush administration .
semeval2013.d009.s006	Clement 's law firm , Bancroft PLLC , was one of almost two dozen firms that helped sponsor the annual dinner of the Federalist Society , a longstanding group dedicated to advocating conservative legal principles .
semeval2013.d009.s007	Another firm that sponsored the dinner , Jones Day , represents one of the trade associations that challenged the law , the National Federation of Independent Business .
semeval2013.d009.s008	Another sponsor was pharmaceutical giant Pfizer Inc , which has an enormous financial stake in the outcome of the litigation .
semeval2013.d009.s009	The dinner was held at a Washington hotel hours after the court 's conference over the case .
semeval2013.d009.s010	In attendance was , among others , Mitch McConnell , the Senate 's top Republican and an avowed opponent of the healthcare law .
semeval2013.d009.s011	The featured guests at the dinner ? Scalia and Thomas .
semeval2013.d009.s012	It 's nothing new : The two justices have been attending Federalist Society events for years .
semeval2013.d009.s013	And it 's nothing that runs afoul of ethics rules .
semeval2013.d009.s014	In fact , justices are exempt from the Code of Conduct that governs the actions of lower federal justices .
semeval2013.d009.s015	If they were , they arguably fell under code 's Canon 4C , which states , `` A judge may attend fund-raising events of law-related and other organizations although the judge may not be a speaker , a guest of honor , or featured on the program of such an event . ''
semeval2013.d009.s016	Nevertheless , the sheer proximity of Scalia and Thomas to two of the law firms in the case , as well as to a company with a massive financial interest , was enough to alarm ethics-in-government activists .
