instance_id	wn_id	bn_id	synset	lemmas	gloss
d000.s009.t000	country%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s009.t001	emission%1:27:00::	bn:00027473n	discharge.n.03	discharge, emission	a substance that is emitted or released
d000.s009.t002	percent%1:24:00::	bn:00061135n	percentage.n.01	percentage, percent, per_centum, pct	a proportion in relation to a whole (which is usually the amount per hundred)
d000.s010.t000	european_union%1:14:00::	bn:00021127n	european_union.n.01	European_Union, EU, European_Community, EC, European_Economic_Community, EEC, Common_Market, Europe	an international organization of European countries formed after World War II to reduce trade barriers and increase cooperation among its members
d000.s010.t001	talk%1:10:00::	bn:00075965n	talk.n.01	talk, talking	an exchange of ideas via conversation
d000.s010.t002	boost%1:04:01::	bn:00012159n	boost.n.03	boost	the act of giving a push
d000.s010.t003	friday%1:28:00::	bn:00036512n	friday.n.01	Friday, Fri	the sixth day of the week; the fifth working day
d000.s010.t004	year%1:28:01::	bn:00078738n	year.n.01	year, twelvemonth, yr	a period of time containing 365 (or 366) days
d000.s010.t005	year%1:28:01::	bn:00078738n	year.n.01	year, twelvemonth, yr	a period of time containing 365 (or 366) days
d000.s010.t006	country%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s010.t007	impact%1:19:00::	bn:00046065n	impact.n.02	impact, wallop	a forceful consequence; a strong effect
d000.s010.t008	climate_change%1:22:00::	bn:00019782n	climate_change.n.01	climate_change, global_climate_change	a change in the world's climate
d000.s010.t009	flood%1:19:00::	bn:00002954n	flood.n.01	flood, inundation, deluge, alluvion	the rising of a body of water and its overflowing onto normally dry land
d000.s010.t010	drought%1:26:00::	bn:00028863n	drought.n.01	drought, drouth	a shortage of rainfall
d000.s010.t011	deforestation%1:04:00::	bn:00025949n	deforestation.n.02	deforestation, disforestation	the removal of trees
d000.s010.t011	deforestation%1:26:00::	bn:00025948n	deforestation.n.01	deforestation	the state of being clear of trees
d000.s011.t000	friday%1:28:00::	bn:00036512n	friday.n.01	Friday, Fri	the sixth day of the week; the fifth working day
d000.s011.t001	sort%1:09:00::	bn:00035907n	kind.n.01	kind, sort, form, variety	a category of things distinguished by some common characteristic or quality
d000.s011.t002	talk%1:10:00::	bn:00075965n	talk.n.01	talk, talking	an exchange of ideas via conversation
d000.s011.t003	week%1:28:02::	bn:00014711n	week.n.03	week, calendar_week	a period of seven consecutive days starting on Sunday
d000.s012.t000	u.s.%1:14:00::	bn:00078848n	united_states_government.n.01	United_States_government, United_States, U.S._government, US_Government, U.S.	the executive and legislative and judicial branches of the federal government of the United States
d000.s012.t001	climate%1:26:00::	bn:00019780n	climate.n.01	climate, clime	the weather in some location averaged over some long period of time
d000.s012.t002	envoy%1:18:00::	bn:00031083n	envoy.n.01	envoy, envoy_extraordinary, minister_plenipotentiary	a diplomat having less authority than an ambassador
d000.s012.t003	language%1:10:03::	bn:00049915n	terminology.n.01	terminology, nomenclature, language	a system of words used to name things in a particular discipline
d000.s012.t004	cut%1:04:05::	bn:00024615n	cut.n.19	cut	the act of reducing the amount or number
d000.s012.t005	emission%1:27:00::	bn:00027473n	discharge.n.03	discharge, emission	a substance that is emitted or released
d000.s012.t006	one%1:09:00::	bn:00058969n	one.n.02	one	a single person or thing
d000.s013.t000	move%1:04:03::	bn:00056029n	motion.n.03	motion, movement, move, motility	a change of position that does not entail a change of location
d000.s013.t001	hard_line%1:09:00::	bn:00042938n	hard_line.n.01	hard_line	a firm and uncompromising stance or position
d000.s013.t002	china%1:15:00::	bn:00016756n	china.n.01	China, People's_Republic_of_China, mainland_China, Communist_China, Red_China, PRC, Cathay	a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
d000.s013.t003	bush_administration%1:14:01::	bn:00014103n	bush_administration.n.02	Bush_administration	the executive under President George W. Bush
d000.s013.t004	official%1:18:01::	bn:00036837n	official.n.01	official, functionary	a worker who holds or is invested with an office
d000.s013.t005	year%1:28:01::	bn:00078738n	year.n.01	year, twelvemonth, yr	a period of time containing 365 (or 366) days
d000.s014.t000	united_states%1:14:00::	bn:00078848n	united_states_government.n.01	United_States_government, United_States, U.S._government, US_Government, U.S.	the executive and legislative and judicial branches of the federal government of the United States
d000.s014.t001	deal%1:10:00::	bn:00008568n	bargain.n.01	bargain, deal	an agreement between parties (usually arrived at after discussion) fixing obligations of each
d000.s014.t002	developing_country%1:14:00::	bn:00026694n	developing_country.n.01	developing_country	a country that is poor and whose citizens are mostly agricultural workers but that wants to become more advanced socially and economically
d000.s014.t003	action%1:04:04::	bn:00001135n	action.n.09	action	an act by a government body or supranational organization
d000.s014.t004	text%1:10:00::	bn:00076732n	text.n.01	text, textual_matter	the words of something written
d000.s014.t004	text%1:10:01::	bn:00076732n	text.n.04	text	the main body of a written work (as distinct from illustrations or footnotes etc.)
d000.s014.t005	cut%1:04:05::	bn:00024615n	cut.n.19	cut	the act of reducing the amount or number
d000.s014.t006	observer%1:18:01::	bn:00020980n	observer.n.02	observer, commentator	an expert who observes and comments on something
d000.s015.t000	comment%1:10:00::	bn:00020977n	remark.n.01	remark, comment, input	a statement that expresses a personal opinion or belief or adds information
d000.s015.t001	hour%1:28:01::	bn:00044982n	hour.n.02	hour, time_of_day	clock time
d000.s015.t002	foreign_minister%1:18:00::	bn:00035831n	foreign_minister.n.01	foreign_minister, secretary_of_state	a government minister for foreign relations
d000.s015.t003	america%1:15:00::	bn:00003341n	united_states.n.01	United_States, United_States_of_America, America, the_States, US, U.S., USA, U.S.A.	North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North America and the Hawaiian Islands in the Pacific Ocean; achieved independence in 1776
d000.s015.t004	climate%1:26:00::	bn:00019780n	climate.n.01	climate, clime	the weather in some location averaged over some long period of time
d000.s015.t005	negotiator%1:18:00::	bn:00057209n	negotiator.n.01	negotiator, negotiant, treater	someone who negotiates (confers with others in order to reach a settlement)
d000.s015.t006	common_sense%1:09:00::	bn:00021164n	common_sense.n.01	common_sense, good_sense, gumption, horse_sense, sense, mother_wit	sound practical judgment
d000.s015.t007	week%1:28:02::	bn:00014711n	week.n.03	week, calendar_week	a period of seven consecutive days starting on Sunday
d000.s015.t008	united_states%1:14:00::	bn:00078848n	united_states_government.n.01	United_States_government, United_States, U.S._government, US_Government, U.S.	the executive and legislative and judicial branches of the federal government of the United States
d000.s015.t009	china%1:15:00::	bn:00016756n	china.n.01	China, People's_Republic_of_China, mainland_China, Communist_China, Red_China, PRC, Cathay	a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
d000.s015.t010	global_warming%1:22:00::	bn:00040681n	global_warming.n.01	global_warming	an increase in the average temperature of the earth's atmosphere (especially a sustained increase that causes climatic changes)
d000.s016.t000	trajectory%1:19:00::	bn:00035211n	trajectory.n.01	trajectory, flight	the path followed by an object moving through space
d000.s016.t001	world%1:17:00::	bn:00029424n	earth.n.01	Earth, earth, world, globe	the 3rd planet from the sun; the planet we live on
d000.s016.t002	major_power%1:14:00::	bn:00041585n	world_power.n.01	world_power, major_power, great_power, power, superpower	a state powerful enough to influence events throughout the world
d000.s016.t003	fault_line%1:15:00::	bn:00033819n	fault_line.n.01	fault_line	(geology) line determined by the intersection of a geological fault and the earth's surface
d000.s017.t000	battle%1:04:02::	bn:00009080n	conflict.n.01	conflict, struggle, battle	an open clash between two opposing groups (or individuals); --Thomas Paine
d000.s017.t001	economy%1:14:00::	bn:00029678n	economy.n.01	economy, economic_system	the system of production and distribution and consumption
d000.s017.t002	planet%1:17:00::	bn:00052888n	planet.n.01	planet, major_planet	(astronomy) any of the nine large celestial bodies in the solar system that revolve around the sun and shine by reflected light; Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto in order of their proximity to the sun; viewed from the constellation Hercules, all the planets rotate around the sun in a counterclockwise direction
d000.s017.t003	china%1:15:00::	bn:00016756n	china.n.01	China, People's_Republic_of_China, mainland_China, Communist_China, Red_China, PRC, Cathay	a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
d000.s017.t004	united_states%1:14:00::	bn:00078848n	united_states_government.n.01	United_States_government, United_States, U.S._government, US_Government, U.S.	the executive and legislative and judicial branches of the federal government of the United States
d000.s017.t005	obligation%1:04:00::	bn:00029239n	duty.n.01	duty, responsibility, obligation	the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
d000.s017.t006	nation%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s017.t007	world%1:17:00::	bn:00029424n	earth.n.01	Earth, earth, world, globe	the 3rd planet from the sun; the planet we live on
d000.s017.t008	two_dozen%1:23:00::	bn:00000085n	twenty-four.n.01	twenty-four, 24, XXIV, two_dozen	the cardinal number that is the sum of twenty-three and one
d000.s017.t009	country%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s017.t010	imperative%1:04:00::	bn:00046093n	imperative.n.02	imperative	some duty that is essential and urgent
d000.s017.t011	action%1:04:04::	bn:00001135n	action.n.09	action	an act by a government body or supranational organization
d000.s018.t000	delegate%1:18:00::	bn:00026025n	delegate.n.01	delegate	a person appointed or elected to represent others
d000.s018.t001	major_power%1:14:00::	bn:00041585n	world_power.n.01	world_power, major_power, great_power, power, superpower	a state powerful enough to influence events throughout the world
d000.s018.t002	cost%1:21:00::	bn:00022995n	cost.n.01	cost	the total spent for goods or services including money and time and labor
d000.s018.t003	greenhouse_gas%1:27:00::	bn:00041712n	greenhouse_gas.n.01	greenhouse_gas, greenhouse_emission	a gas that contributes to the greenhouse effect by absorbing infrared radiation
d000.s018.t004	country%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s018.t005	action%1:04:02::	bn:00001127n	action.n.01	action	something done (usually as opposed to something said)
d000.s019.t000	game%1:09:00::	bn:00037187n	plot.n.01	plot, secret_plan, game	a secret scheme to do something (especially something underhand or illegal)
d000.s019.t001	hegemony%1:14:00::	bn:00043539n	hegemony.n.01	hegemony	the dominance or leadership of one social group or nation over others
d000.s019.t002	mexico%1:15:00::	bn:00054693n	mexico.n.01	Mexico, United_Mexican_States	a republic in southern North America; became independent from Spain in 1810
d000.s019.t003	central_america%1:14:00::	bn:00017172n	central_america.n.02	Central_America	the nations of Central America collectively
d000.s019.t004	climate_change%1:22:00::	bn:00019782n	climate_change.n.01	climate_change, global_climate_change	a change in the world's climate
d000.s019.t005	adviser%1:18:00::	bn:00001598n	adviser.n.01	adviser, advisor, consultant	an expert who gives advice
d000.s020.t000	country%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s020.t001	impact%1:19:00::	bn:00046065n	impact.n.02	impact, wallop	a forceful consequence; a strong effect
d000.s020.t002	climate_change%1:22:00::	bn:00019782n	climate_change.n.01	climate_change, global_climate_change	a change in the world's climate
d000.s020.t003	treaty%1:10:00::	bn:00000728n	treaty.n.01	treaty, pact, accord	a written agreement between two states or sovereigns
d000.s020.t004	copenhagen%1:15:00::	bn:00022479n	copenhagen.n.01	Copenhagen, Kobenhavn, Danish_capital	the capital and largest city of Denmark; located on the island of Zealand
d000.s020.t005	participant%1:18:00::	bn:00060798n	participant.n.01	participant	someone who takes part in an activity
d000.s020.t006	talk%1:10:00::	bn:00075965n	talk.n.01	talk, talking	an exchange of ideas via conversation
d000.s020.t007	deal%1:10:00::	bn:00008568n	bargain.n.01	bargain, deal	an agreement between parties (usually arrived at after discussion) fixing obligations of each
d000.s021.t000	member%1:14:00::	bn:00054277n	member.n.04	member	an organization that is a member of another organization (especially a state that belongs to a group of nations)
d000.s021.t001	draft%1:10:00::	bn:00028548n	draft.n.05	draft, draft_copy	any of the various versions in the development of a written work
d000.s021.t002	treaty%1:10:00::	bn:00000728n	treaty.n.01	treaty, pact, accord	a written agreement between two states or sovereigns
d000.s021.t003	proposal%1:10:00::	bn:00064776n	proposal.n.01	proposal	something proposed (such as a plan or assumption)
d000.s021.t004	friday%1:28:00::	bn:00036512n	friday.n.01	Friday, Fri	the sixth day of the week; the fifth working day
d000.s021.t005	morning%1:28:00::	bn:00035851n	morning.n.01	morning, morn, morning_time, forenoon	the time period between dawn and noon
d000.s022.t000	climate%1:26:00::	bn:00019780n	climate.n.01	climate, clime	the weather in some location averaged over some long period of time
d000.s022.t001	negotiation%1:10:00::	bn:00026838n	negotiation.n.01	negotiation, dialogue, talks	a discussion intended to produce an agreement
d000.s022.t002	behalf%1:04:00::	bn:00009652n	behalf.n.01	behalf	as the agent of or on someone's part (usually expressed as  rather than )
d000.s022.t003	push%1:04:01::	bn:00065344n	push.n.05	push	an effort to advance
d000.s022.t004	pressure%1:07:00::	bn:00064262n	pressure.n.02	pressure	a force that compels
d000.s022.t005	process%1:04:00::	bn:00064536n	procedure.n.01	procedure, process	a particular course of action intended to achieve a result
d000.s022.t006	action%1:04:04::	bn:00001135n	action.n.09	action	an act by a government body or supranational organization
d000.s022.t007	china%1:15:00::	bn:00016756n	china.n.01	China, People's_Republic_of_China, mainland_China, Communist_China, Red_China, PRC, Cathay	a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
d000.s022.t008	india%1:15:00::	bn:00010203n	india.n.01	India, Republic_of_India, Bharat	a republic in the Asian subcontinent in southern Asia; second most populous country in the world; achieved independence from the United Kingdom in 1947
d000.s023.t000	talk%1:10:00::	bn:00075965n	talk.n.01	talk, talking	an exchange of ideas via conversation
d000.s023.t001	urgency%1:26:00::	bn:00079330n	urgency.n.01	urgency	the state of being urgent; an earnest and insistent necessity
d000.s023.t002	delegate%1:18:00::	bn:00026025n	delegate.n.01	delegate	a person appointed or elected to represent others
d000.s023.t003	fact%1:09:01::	bn:00032654n	fact.n.01	fact	a piece of information about circumstances that exist or events that have occurred
d000.s023.t004	issue%1:09:01::	bn:00047688n	issue.n.01	issue	an important question that is in dispute and must be settled
d000.s023.t005	deal%1:10:00::	bn:00008568n	bargain.n.01	bargain, deal	an agreement between parties (usually arrived at after discussion) fixing obligations of each
d000.s024.t000	official%1:18:01::	bn:00036837n	official.n.01	official, functionary	a worker who holds or is invested with an office
d000.s024.t001	minister%1:18:02::	bn:00041200n	minister.n.02	minister, government_minister	a person appointed to a high office in the government
d000.s024.t002	plane%1:06:01::	bn:00001697n	airplane.n.01	airplane, aeroplane, plane	an aircraft that has a fixed wing and is powered by propellers or jets
d000.s024.t003	hall%1:06:03::	bn:00042663n	hallway.n.01	hallway, hall	an interior passage or corridor onto which rooms open
d000.s024.t004	meeting%1:14:00::	bn:00041948n	meeting.n.01	meeting, group_meeting	a formally arranged gathering
d000.s024.t005	news_conference%1:10:00::	bn:00057552n	press_conference.n.01	press_conference, news_conference	a conference at which press and tv reporters ask questions of a politician or other celebrity
d000.s024.t006	claim%1:04:00::	bn:00019405n	claim.n.03	claim	demand for something as rightful or due
d000.s024.t007	week%1:28:02::	bn:00014711n	week.n.03	week, calendar_week	a period of seven consecutive days starting on Sunday
d000.s025.t000	gathering%1:14:00::	bn:00006479n	gathering.n.01	gathering, assemblage	a group of persons together in one place
d000.s025.t001	people%1:14:00::	bn:00061450n	people.n.01	people	(plural) any group of human beings (men or women or children) collectively
d000.s025.t002	day%1:28:00::	bn:00000086n	day.n.01	day, twenty-four_hours, twenty-four_hour_period, 24-hour_interval, solar_day, mean_solar_day	time for Earth to make a complete rotation on its axis
d000.s025.t003	activist%1:18:00::	bn:00001171n	militant.n.01	militant, activist	a militant reformer
d000.s025.t004	show%1:04:00::	bn:00071315n	show.n.01	show	the act of publicly exhibiting or entertaining
d000.s025.t005	country%1:14:00::	bn:00023236n	state.n.04	state, nation, country, land, commonwealth, res_publica, body_politic	a politically organized body of people under a single government
d000.s025.t006	draft%1:10:00::	bn:00028548n	draft.n.05	draft, draft_copy	any of the various versions in the development of a written work
d000.s025.t007	proposal%1:10:00::	bn:00064776n	proposal.n.01	proposal	something proposed (such as a plan or assumption)
d000.s025.t008	paper%1:27:00::	bn:00060464n	paper.n.01	paper	a material made of cellulose pulp derived mainly from wood or rags or certain grasses
d000.s025.t009	e-mail%1:10:00::	bn:00029345n	electronic_mail.n.01	electronic_mail, e-mail, email	(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
d000.s025.t010	challenge%1:26:00::	bn:00017557n	challenge.n.01	challenge	a demanding or stimulating situation
d000.s026.t000	intensity%1:07:00::	bn:00047043n	intensity.n.02	intensity, intensiveness	high level or degree; the property of being intense
d000.s026.t001	minister%1:18:02::	bn:00041200n	minister.n.02	minister, government_minister	a person appointed to a high office in the government
d000.s026.t002	wednesday%1:28:00::	bn:00054897n	wednesday.n.01	Wednesday, Midweek, Wed	the fourth day of the week; the third working day
d000.s026.t003	copenhagen%1:15:00::	bn:00022479n	copenhagen.n.01	Copenhagen, Kobenhavn, Danish_capital	the capital and largest city of Denmark; located on the island of Zealand
d000.s027.t000	big_league%1:14:00::	bn:00010317n	major_league.n.01	major_league, big_league, majors	the most important league in any sport (especially baseball)
d000.s027.t001	vice_president%1:18:00::	bn:00079435n	vice_president.n.01	vice_president, V.P.	an executive officer ranking immediately below a president; may serve in the president's place under certain circumstances
d000.s027.t002	policy%1:10:00::	bn:00063330n	policy.n.02	policy	a line of argument rationalizing the course of action of a government
d000.s028.t000	heavyweight%1:18:00::	bn:00009664n	colossus.n.02	colossus, behemoth, giant, heavyweight, titan	a person of exceptional importance and reputation
d001.s000.t000	victory%1:11:00::	bn:00078365n	victory.n.01	victory, triumph	a successful ending of a struggle or contest
d001.s000.t001	israel%1:15:00::	bn:00047679n	israel.n.01	Israel, State_of_Israel, Yisrael, Zion, Sion	Jewish republic in southwestern Asia at eastern end of Mediterranean; formerly part of Palestine
d001.s001.t000	victory%1:11:00::	bn:00078365n	victory.n.01	victory, triumph	a successful ending of a struggle or contest
d001.s001.t001	visit%1:04:02::	bn:00080111n	visit.n.01	visit	the act of going to see some person or place or thing for a short time
d001.s001.t002	team%1:14:00::	bn:00073699n	team.n.01	team, squad	a cooperative unit (especially in sports)
d001.s001.t003	loss%1:04:00::	bn:00052052n	loss.n.03	loss	the act of losing someone or something
d001.s001.t004	performance%1:04:00::	bn:00016286n	performance.n.03	performance, execution, carrying_out, carrying_into_action	the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
d001.s001.t005	team%1:14:00::	bn:00073699n	team.n.01	team, squad	a cooperative unit (especially in sports)
d001.s001.t006	point%1:23:01::	bn:00063218n	point.n.10	point	the unit of counting in scoring a game or contest
d001.s001.t007	top%1:26:00::	bn:00000942n	acme.n.01	acme, height, elevation, peak, pinnacle, summit, superlative, meridian, tiptop, top	the highest level or degree attainable; the highest stage of development
d001.s001.t008	group%1:03:00::	bn:00041942n	group.n.01	group, grouping	any number of entities (members) considered as a unit
d001.s002.t000	team%1:14:00::	bn:00073699n	team.n.01	team, squad	a cooperative unit (especially in sports)
d001.s002.t001	absence%1:26:00::	bn:00000427n	absence.n.01	absence	the state of being absent
d001.s002.t002	involvement%1:04:00::	bn:00030844n	engagement.n.07	engagement, participation, involvement, involution	the act of sharing in the activities of a group
d001.s002.t003	teamwork%1:04:00::	bn:00076309n	teamwork.n.01	teamwork	cooperative work done by a team (especially when it is effective)
d001.s002.t004	end%1:11:00::	bn:00030720n	end.n.03	end, last, final_stage	the concluding parts of an event or occurrence
d001.s002.t005	victory%1:11:00::	bn:00078365n	victory.n.01	victory, triumph	a successful ending of a struggle or contest
d001.s003.t000	success%1:26:00::	bn:00075025n	success.n.03	success	a state of prosperity or fame
d001.s003.t001	sideline%1:15:00::	bn:00059751n	sideline.n.01	sideline, out_of_bounds	a line that marks the side boundary of a playing field
