sentence_id	text	translation	lemma	translation_token	translation_lemma
d000.s010	The European Union gave the talks a boost as well on Friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .	欧洲联盟在星期五也推动了会谈,承诺在今后三年每年提供36亿美元,以帮助较贫穷国家适应气候变化的影响 -- -- 从应对洪水和干旱到避免砍伐森林。	the european_union give the talk a boost as well on friday by pledge to provide $ 3.6 billion a year over the next three year to help poorer country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	欧洲 联盟 在 星期五 也 推动 了 会谈 , 承诺 在 今后 三年 每年 提供 36亿 美元 , 以 帮助 较 贫穷 国家 适应 气候 变化 的 影响 -- -- 从 应对 洪水 和 干旱 到 避免 砍伐 森林 。	欧洲 联盟 在 星期五 也 推动 了 会谈 , 承诺 在 今后 三年 每年 提供 36亿 美元 , 以 帮助 较 贫穷 国家 适应 气候 变化 的 影响 -- -- 从 应对 洪水 和 干旱 到 避免 砍伐 森林 。
d000.s011	Still , Friday featured the same sort of verbal fireworks that have dominated the talks for the past week .	与过去一周主导会谈的同一种口头烟火。	still , friday feature the same sort of verbal firework that have dominate the talk for the past week .	与 过去 一 周 主导 会谈 的 同一 种 口头 烟火 。	与 过去 一 周 主导 会谈 的 同一 种 口头 烟火 。
d000.s012	U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .	美国气候问题特使托德·斯特恩(Todd Stern)拒绝要求工业化国家与主要新兴经济体的自愿国家相比,强制削减温室气体排放的措辞,如果发达国家不提供资金的话。	u.s. special climate envoy todd stern reject language require binding cut of greenhouse-gas emission for industrialized country compare with voluntary one by major emerge economy if they be not fund by the developed world .	美国 气候 问题 特使 托德·斯特恩( Todd Stern) 拒绝 要求 工业化 国家 与 主要 新兴 经济体 的 自愿 国家 相比 , 强制 削减 温室 气体 排放 的 措辞 , 如果 发达 国家 不 提供 资金 的话 。	美国 气候 问题 特使 托德·斯特恩( Todd Stern) 拒绝 要求 工业化 国家 与 主要 新兴 经济体 的 自愿 国家 相比 , 强制 削减 温室 气体 排放 的 措辞 , 如果 发达 国家 不 提供 资金 的话 。
d000.s013	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago .	与两年前布什政府官员相比, 奥巴马政府与中国的关系更加艰难。	the move signal that the obama administration be take a hard_line with china than bush_administration official do just two year ago .	与 两 年前 布什 政府 官员 相比 , 奥巴马 政府 与 中国 的 关系 更加 艰难 。	与 两 年前 布什 政府 官员 相比 , 奥巴马 政府 与 中国 的 关系 更加 艰难 。
d000.s014	The United States is not going to do a deal without the major developing countries stepping up and taking action , said Stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .	美国不会做一个交易, 除非主要发展中国家加速并采取行动, Stern也抱怨说, 案文没有做出足够的努力,	the united_states be not go to do a deal without the major developing_country step up and take action , say stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	美国 不 会 做 一个 交易 , 除非 主要 发展中国家 加速 并 采取 行动 , Stern 也 抱怨 说 , 案文 没有 做出 足够 的 努力 ,	美国 不 会 做 一个 交易 , 除非 主要 发展中国家 加速 并 采取 行动 , Stern 也 抱怨 说 , 案文 没有 做出 足够 的 努力 ,
d000.s015	Stern made his comments an hour after Chinese vice foreign minister He Yafei said America 's top climate negotiator was either lacking `` common sense '' or being `` extremely irresponsible '' for saying earlier in the week that the United States would not help China financially to cope with global warming .	斯特恩在中国副外长何亚非(He Yafei)说美国顶级气候谈判代表缺乏常识或“极端不负责任”在一周早些时候表示美国不会在财政上帮助中国应对全球变暖,	stern make he comment a hour after chinese vice foreign_minister he yafeus say america 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help china financially to cope with global_warming .	斯特恩 在 中国 副外长 何亚非(He Yafei) 说 美国 顶级 气候 谈判 代表 缺乏 常识 或 “ 极端 不 负 责任 ” 在 一 周 早些时候 表示 美国 不 会 在 财政 上 帮助 中国 应对 全球 变暖 ,	斯特恩 在 中国 副外长 何亚非(He Yafei) 说 美国 顶级 气候 谈判 代表 缺乏 常识 或 “ 极端 不 负 责任 ” 在 一 周 早些时候 表示 美国 不 会 在 财政 上 帮助 中国 应对 全球 变暖 ,
d000.s016	With the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .	随着世界大国未来的经济轨迹处于危险之中,发展中国家内部以及工业世界和新兴经济体之间都爆发了断层线。	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the develop world and between the industrial world and emerge economy .	随着 世界 大国 未来 的 经济 轨迹 处于 危险 之中 , 发展中国家 内部 以及 工业 世界 和 新兴 经济体 之间 都 爆发 了 断层线 。	随着 世界 大国 未来 的 经济 轨迹 处于 危险 之中 , 发展中国家 内部 以及 工业 世界 和 新兴 经济体 之间 都 爆发 了 断层线 。
d000.s017	The current battle is as much about saving individual economies as saving the planet , with China and United States feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action .	中国和美国为各自的义务争吵不休, 而较贫穷的国家则坚持认为世界上二十几个最具影响力的国家无视采取更大胆行动的科学必要性。	the current battle be as much about save individual economy as save the planet , with china and united_states feud over they respective obligation while poorer nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bolder action .	中国 和 美国 为 各自 的 义务 争吵不休 , 而 较 贫穷 的 国家 则 坚持 认为 世界 上 二十几 个 最 具 影响力 的 国家 无视 采取 更 大胆 行动 的 科学 必要性 。	中国 和 美国 为 各自 的 义务 争吵不休 , 而 较 贫穷 的 国家 则 坚持 认为 世界 上 二十几 个 最 具 影响力 的 国家 无视 采取 更 大胆 行动 的 科学 必要性 。
d000.s018	Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .	哥斯达黎加代表Ricardo Ulate指出, 大国为谁应承担遏制温室气体的费用而争吵, 毫不奇怪, 即使脆弱国家更积极要求大型排放国为其行动负责。	ricardo ulate , a costa rican delegate , say it ' not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for they action .	哥斯达黎加 代表 Ricardo Ulate 指出 , 大国 为 谁 应 承担 遏制 温室 气体 的 费用 而 争吵 , 毫不 奇怪 , 即使 脆弱 国家 更 积极 要求 大型 排放国 为 其 行动 负责 。	哥斯达黎加 代表 Ricardo Ulate 指出 , 大国 为 谁 应 承担 遏制 温室 气体 的 费用 而 争吵 , 毫不 奇怪 , 即使 脆弱 国家 更 积极 要求 大型 排放国 为 其 行动 负责 。
d000.s019	This is clearly a game where a new economic hegemony is being developed , said Ulate , who also serves as the regional Mexico and Central America climate change adviser for Conservation International .	乌拉特(Ulate)说, 这显然是一个正在发展新的经济霸权的游戏,	this be clearly a game where a new economic hegemony be be develop , say ulate , who also serve as the regional mexico and central_america climate_change adviser for conservation international .	乌拉特(Ulate) 说 , 这 显然 是 一个 正在 发展 新 的 经济 霸权 的 游戏 ,	乌拉特(Ulate) 说 , 这 显然 是 一个 正在 发展 新 的 经济 霸权 的 游戏 ,
d000.s020	Some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in Copenhagen , although most of the major participants say the talks will produce a political deal at best .	有些最易受气候变化影响的国家表示将继续推动在哥本哈根缔结一项具有法律约束力的条约,	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally bind treaty in copenhagen , although most of the major participant say the talk will produce a political deal at best .	有些 最 易 受 气候 变化 影响 的 国家 表示 将 继续 推动 在 哥本哈根 缔结 一 项 具有 法律 约束力 的 条约 ,	有些 最 易 受 气候 变化 影响 的 国家 表示 将 继续 推动 在 哥本哈根 缔结 一 项 具有 法律 约束力 的 条约 ,
d000.s021	The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .	小岛屿国家联盟有43个成员,在星期五上午提出了一份24页的条约提案草案。	the alliance of small island state , which have 43 member , produce a 24-page draft treaty proposal early friday morning .	小 岛屿 国家 联盟 有 43 个 成员 , 在 星期五 上午 提出 了 一 份 24 页 的 条约 提案 草案 。	小 岛屿 国家 联盟 有 43 个 成员 , 在 星期五 上午 提出 了 一 份 24 页 的 条约 提案 草案 。
d000.s022	Artur Runge-Metzger , who heads international climate negotiations on behalf of the European Commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as China and India .	代表欧盟委员会领导国际气候谈判的Artur Runge-Metzger说,小岛屿国家的推动“对整个政治进程施加政治压力 ” , 部分原因是它们现在统一了,要求中国和印度等新兴经济体采取行动。	artur runge-metzger , who head international climate negotiation on behalf of the european commission , say the push by small island nation have `` put political pressure on the entire political process , '' in part because they be now unify and demand action from emerge economy such as china and india .	代表 欧盟 委员会 领导 国际 气候 谈判 的 Artur Runge - Metzger 说 , 小 岛屿 国家 的 推动 “ 对 整个 政治 进程 施加 政治 压力 ” , 部分 原因 是 它们 现在 统一 了 , 要求 中国 和 印度 等 新兴 经济体 采取 行动 。	代表 欧盟 委员会 领导 国际 气候 谈判 的 Artur Runge - Metzger 说 , 小 岛屿 国家 的 推动 “ 对 整个 政治 进程 施加 政治 压力 ” , 部分 原因 是 它们 现在 统一 了 , 要求 中国 和 印度 等 新兴 经济体 采取 行动 。
d000.s023	The talks took on new urgency as delegates focused on the fact that they must resolve most of the outstanding issues before the heads of government arrive to strike a deal .	会谈具有了新的紧迫性,因为代表们强调,在政府首脑达成协定之前,他们必须解决大部分未决问题。	the talk take on new urgency as delegate focus on the fact that they must resolve most of the outstanding issue before the head of government arrive to strike a deal .	会谈 具有 了 新 的 紧迫性 , 因为 代表们 强调 , 在 政府 首脑 达成 协定 之前 , 他们 必须 解决 大部分 未决 问题 。	会谈 具有 了 新 的 紧迫性 , 因为 代表们 强调 , 在 政府 首脑 达成 协定 之前 , 他们 必须 解决 大部分 未决 问题 。
d000.s024	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week .	印度环境部长拉梅什(Jairam Ramesh)和中国副部长等高级官员下车, 通过贝拉中心大厅参加闭门会议和记者招待会,	high-level official such as indian environment minister jairam ramesh and the chinese vice minister step off plane and race through the bellum center 's hall to closed-door meeting and news_conference so they could stake out claim that will be arbitrate over the next week .	印度 环境 部长 拉梅 什( Jairam Rame sh) 和 中国 副部长 等 高级 官员 下车 , 通过 贝拉 中心 大厅 参加 闭门 会议 和 记者 招待会 ,	印度 环境 部长 拉梅 什( Jairam Rame sh) 和 中国 副部长 等 高级 官员 下车 , 通过 贝拉 中心 大厅 参加 闭门 会议 和 记者 招待会 ,
d000.s025	The sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activists put on nightly shows mocking the countries they think are selling out , and draft proposals are passed hand-to-hand on paper rather than via e-mail -- poses a challenge .	整场集会的无穷无尽, 每天有13000人进出会议中心, 吉他播放活动家在夜间表演, 嘲笑他们认为卖出的国家,	the sheer sprawl of the gathering -- where 13,000 people move in and out of the convention center each day , guitar-playing activist put on nightly show mock the country they think be sell out , and draft proposal be pass hand-to-hand on paper rather than via e-mail -- pose a challenge .	整场 集会 的 无穷无尽 , 每天 有 13000 人 进出 会议 中心 , 吉他 播放 活动家 在 夜间 表演 , 嘲笑 他们 认为 卖出 的 国家 ,	整场 集会 的 无穷无尽 , 每天 有 13000 人 进出 会议 中心 , 吉他 播放 活动家 在 夜间 表演 , 嘲笑 他们 认为 卖出 的 国家 ,
d000.s026	The intensity is only building : nearly all of the key ministers are now here , and as early as Wednesday 60 heads of government will be in Copenhagen .	紧张程度只是建设而已:几乎所有关键部长现在都在这里, 早在星期三60位政府首脑就将在哥本哈根。	the intensity be only build : nearly all of the key minister be now here , and as early as wednesday 60 head of government will be in copenhagen .	紧张 程度 只是 建设 而已 : 几乎 所有 关键 部长 现在 都 在 这里 , 早 在 星期三 60 位 政府 首脑 就 将 在 哥本哈根 。	紧张 程度 只是 建设 而已 : 几乎 所有 关键 部长 现在 都 在 这里 , 早 在 星期三 60 位 政府 首脑 就 将 在 哥本哈根 。
d000.s027	We 're getting into the big leagues , said Carlos Manuel Rodriguez , vice president for global policy at Conservation International .	Carlos Manuel Rodriguez是国际养护组织全球政策副总裁,	we be get into the big_league , say carlo manuel rodriguez , vice_president for global policy at conservation international .	Carlos Manuel Rodriguez 是 国际 养护 组织 全球 政策 副总裁 ,	Carlos Manuel Rodriguez 是 国际 养护 组织 全球 政策 副总裁 ,
d000.s028	The heavyweights are coming .	重量级部队来了	the heavyweight be come .	重量级 部队 来 了	重量级 部队 来 了
d001.s000	Baskonia gives away a victory in Israel	巴斯科尼亚在以色列取得胜利	baskonium give away a victory in israel	巴斯科尼亚 在 以色列 取得 胜利	巴斯科尼亚 在 以色列 取得 胜利
d001.s001	Caja Laboral achieved a stunning 82-91 victory on their visit to the Maccabee Electra court despite Dusko Ivanovic 's team 's heavy losses , and after the great performance by Mizra Teltovic , who was the best on his team with eight three-pointers scored ( 29 points ) , they now at the top of their group .	尽管Dusko Ivanovic团队损失惨重, Caja Labal在访问Maccabee Electra法院时取得了惊人的82-91场胜利, 而在Mizra Teltovic的杰出表现(Mizra Teltovic是他的团队中最优秀的,	caja laboral achieve a stunning 82-91 victory on they visit to the maccabee electra court despite dusko ivanovic 's team 's heavy loss , and after the great performance by mizra teltovic , who be the best on he team with eight three-pointer score ( 29 point ) , they now at the top of they group .	尽管 Dus ko Ivanovic 团队 损失 惨重 , Caja Labal 在 访问 Maccabee Electra 法院 时 取得 了 惊人 的 82 - 91 场 胜利 , 而 在 Mizra Teltovic 的 杰出 表现 ( Mizra Teltovic 是 他 的 团队 中 最 优秀 的 ,	尽管 Dus ko Ivanovic 团队 损失 惨重 , Caja Labal 在 访问 Maccabee Electra 法院 时 取得 了 惊人 的 82 - 91 场 胜利 , 而 在 Mizra Teltovic 的 杰出 表现 ( Mizra Teltovic 是 他 的 团队 中 最 优秀 的 ,
d001.s002	The Vitorian team knew to make up for the significant absences of Herrmann , Oleson , Huertas and Micov with a big dose of involvement and teamwork , even though it had to hold out until the end to take the victory .	Vitorian团队知道要弥补Herrmann、Oleson、Huertas和Micov的重大缺席,	the vitorian team know to make up for the significant absence of herrmann , oleson , huerta and micov with a big dose of involvement and teamwork , even though it have to hold out until the end to take the victory .	Vitorian 团队 知道 要 弥补 Herrmann 、 Oleson 、 Huertas 和 Micov 的 重大 缺席 ,	Vitorian 团队 知道 要 弥补 Herrmann 、 Oleson 、 Huertas 和 Micov 的 重大 缺席 ,
d001.s003	Additionally , their huge success from the sidelines , with 16 three pointers scored , had a lot to do with the final triumph .	与最后的胜利有许多关系。	additionally , they huge success from the sideline , with 16 three pointer score , have a lot to do with the final triumph .	与 最后 的 胜利 有 许多 关系 。	与 最后 的 胜利 有 许多 关系 。
d001.s004	The game started out in favor of the Azulgranas , who put themselves ahead on the scoreboard from the start .	比赛一开始支持Azulgranas, 他们从一开始就在记分牌上领先。	the game start out in favor of the azulgrana , who put themselves ahead on the scoreboard from the start .	比赛 一 开始 支持 Azulgranas , 他们 从 一开始 就 在 记分牌 上 领先 。	比赛 一 开始 支持 Azulgranas , 他们 从 一开始 就 在 记分牌 上 领先 。
d001.s005	As Vitora 's first four baskets were from the perimeter , the speculation was already that they had jumped into the Israeli net with hot wrists .	Vitora的头四个篮子来自周边, 猜测他们用热手腕跳入以色列网,	as vitora 's first four basket be from the perimeter , the speculation be already that they have jump into the israeli net with hot wrist .	Vitora 的 头 四 个 篮子 来自 周边 , 猜测 他们 用 热 手腕 跳入 以色列 网 ,	Vitora 的 头 四 个 篮子 来自 周边 , 猜测 他们 用 热 手腕 跳入 以色列 网 ,
d001.s006	English and Teletovic were the main scorers of the 18-20 at the end of the first period .	英语和Teletovic是18-20年度第一个期末的主要得分者。	english and teletovic be the main scorer of the 18-20 at the end of the first_period .	英语 和 Teletovic 是 18 - 20 年度 第一 个 期末 的 主要 得 分者 。	英语 和 Teletovic 是 18 - 20 年度 第一 个 期末 的 主要 得 分者 。
d001.s007	The second quarter was more of the same , but the Alavan team opted for the inside game of Barac and the work of Eliyahu , who was greeted with whistles and applause at his return home , to continue increasing their lead by half-time ( 34-43 ) .	但Alavan团队选择了Barac内部游戏和Eliyahu的工作, Eliyahu回家时在回家时受到吹口哨和掌声的欢迎,	the second quarter be more of the same , but the alavan team opt for the inside game of barac and the work of eliyahu , who be greet with whistle and applause at he return home , to continue increase they lead by half-time ( 34-43 ) .	但 Alavan 团队 选择 了 Barac 内部 游戏 和 Eliyahu 的 工作 , Eliyahu 回家 时 在 回家 时 受到 吹口哨 和 掌声 的 欢迎 ,	但 Alavan 团队 选择 了 Barac 内部 游戏 和 Eliyahu 的 工作 , Eliyahu 回家 时 在 回家 时 受到 吹口哨 和 掌声 的 欢迎 ,
d001.s008	Teletovic had already begun to stand out as the best on his team with 13 points , even though Splitter 's `` six fewer '' points already signaled that it was n't going to be the best night for the Brazilian .	虽然斯普利特(Splitter)的“六分少”的点数已经表明这不是巴西人最好的夜晚。	teletovic have already begin to stand out as the best on he team with 13 point , even though splitter 's `` six fewer '' point already signal that it be n't go to be the best night for the brazilian .	虽然 斯普利特(Splitter) 的 “ 六分 少 ” 的 点数 已经 表明 这不 是 巴西人 最好 的 夜晚 。	虽然 斯普利特(Splitter) 的 “ 六分 少 ” 的 点数 已经 表明 这不 是 巴西人 最好 的 夜晚 。
d001.s009	But the game , despite being headed for halftime , was not more decidedand the Maccabees tried to remind the Vitorians that not just anybody wins on their court , and with the ` hand of Elias ' putting the pressure on , they managed to get involved in the game .	但这场比赛尽管要过半场, 却并未果实决定, 麦克卡比人试图提醒维多利亚人, 不只是任何人在他们的法庭上获胜,	but the game , despite be head for halftime , be not more decidedand the maccabee try to remind the vitorian that not just anybody win on they court , and with the ` hand of elia ' put the pressure on , they manage to get involve in the game .	但 这 场 比赛 尽管 要 过 半场 , 却 并 未 果实 决定 , 麦克卡比人 试图 提醒 维多利亚人 , 不只 是 任何 人 在 他们 的 法庭 上 获胜 ,	但 这 场 比赛 尽管 要 过 半场 , 却 并 未 果实 决定 , 麦克卡比人 试图 提醒 维多利亚人 , 不只 是 任何 人 在 他们 的 法庭 上 获胜 ,
d001.s010	Eidson and Pnini played a decisive role in the `` yellows ' '' return to the light .	"Eidson和Pnini在 "" 黄色 "" 回归光明的过程中发挥了决定性作用。"	eidson and pninus play a decisive role in the `` yellow ' '' return to the light .	"Eidson 和 Pnini 在 "" 黄色 "" 回归 光明 的 过程 中 发挥 了 决定性 作用 。"	"Eidson 和 Pnini 在 "" 黄色 "" 回归 光明 的 过程 中 发挥 了 决定性 作用 。"
d001.s011	More disadvantages	B. 更多的不利条件	more disadvantage	B . 更 多 的 不利 条件	B . 更 多 的 不利 条件
d001.s012	Ivanovic 's players , injured but far from dead , needed to run a couple of plays correctly before they could breathe , and that 's when the machine gun Marza Teletovic arrived , with three almost consecutive three-pointers and the help of English and Ribas , he brought the scoreboard back to a reassuring lead ( 54-67 ) , which the home team managed to narrow down at the end of the third quarter ( 57-67 ) .	Ivanovic的球员受伤了, 但却远未死, 需要在呼吸前正确操控几场戏, 而这时机关枪Marza Teletovic冲抵时,	ivanovic 's player , injured but far from dead , need to run a couple of play correctly before they could breathe , and that ' when the machine gun marza teletovic arrive , with three almost consecutive three-pointer and the help of english and riba , he bring the scoreboard back to a reassuring lead ( 54-67 ) , which the home team manage to narrow down at the end of the third quarter ( 57-67 ) .	Ivanovic 的 球员 受伤 了 , 但 却 远 未 死 , 需要 在 呼吸 前 正确 操控 几 场 戏 , 而 这时 机关枪 Marza Teletovic 冲抵 时 ,	Ivanovic 的 球员 受伤 了 , 但 却 远 未 死 , 需要 在 呼吸 前 正确 操控 几 场 戏 , 而 这时 机关枪 Marza Teletovic 冲抵 时 ,
d001.s013	The Alavas worked themselves to the bone in the last period , and English and San Emeterio ( 65-75 ) had already made it clear that they were not going to let anyone take away what they had earned during the first thirty minutes .	Alavas在上个时期努力工作, 英国人和San Emedio(65-75岁)已明确表示, 他们不会让任何人拿走他们在头30分钟赚来的钱。	the alava work themselves to the bone in the last period , and english and san emeterio ( 65-75 ) have already make it clear that they be not go to let anyone take away what they have earn during the first thirty minute .	Alavas 在 上 个 时期 努力 工作 , 英国人 和 San Emedio( 65 - 75 岁 ) 已 明确 表示 , 他们 不 会 让 任何 人 拿走 他们 在 头 30 分钟 赚来 的 钱 。	Alavas 在 上 个 时期 努力 工作 , 英国人 和 San Emedio( 65 - 75 岁 ) 已 明确 表示 , 他们 不 会 让 任何 人 拿走 他们 在 头 30 分钟 赚来 的 钱 。
d001.s014	However , Pnini and Eidson , the best on their team , did not give up and tried to keep their team alive from the three-point line ( 70-77 ) .	但Pnini和Eidson是他们团队中最优秀的,	however , pninus and eidson , the best on they team , do not give up and try to keep they team alive from the three-point line ( 70-77 ) .	但 Pnini 和 Eidson 是 他们 团队 中 最 优秀 的 ,	但 Pnini 和 Eidson 是 他们 团队 中 最 优秀 的 ,
