sentence_id	text	translation	lemma	translation_token	translation_lemma	alignment
d000.s010	The European Union gave the talks a boost as well on Friday by pledging to provide $ 3.6 billion a year over the next three years to help poorer countries adapt to the impact of climate change -- from coping with flood and drought to avoiding deforestation .	欧盟周五也推动了会谈，承诺在未来三年内每年提供36亿美元，以帮助较贫穷的国家适应气候变化的影响-从应对洪水和干旱到避免森林砍伐。	the european_union give the talk a boost as well on friday by pledge to provide $ 3.6 billion a year over the next three year to help poorer country adapt to the impact of climate_change -- from cope with flood and drought to avoid deforestation .	欧盟 周五 也 推动 了 会谈 ， 承诺 在 未来 三年 内 每年 提供 36亿 美元 ， 以 帮助 较 贫穷 的 国家 适应 气候 变化 的 影响 - 从 应对 洪水 和 干旱 到 避免 森林 砍伐 。	欧盟 周五 也 推动 了 会谈 ， 承诺 在 未来 三年 内 每年 提供 36亿 美元 ， 以 帮助 较 贫穷 的 国家 适应 气候 变化 的 影响 - 从 应对 洪水 和 干旱 到 避免 森林 砍伐 。	[(1, 0), (4, 5), (6, 3), (7, 2), (10, 1), (12, 7), (13, 13), (16, 14), (17, 14), (18, 21), (25, 17), (26, 18), (27, 20), (28, 22), (29, 23), (30, 25), (32, 27), (33, 26), (34, 24), (36, 29), (37, 30), (39, 31), (40, 32), (41, 33), (42, 34), (43, 35), (44, 37), (45, 38)]
d000.s011	Still , Friday featured the same sort of verbal fireworks that have dominated the talks for the past week .	尽管如此，周五还是出现了与过去一周主导谈判的口头烟花。	still , friday feature the same sort of verbal firework that have dominate the talk for the past week .	尽管 如此 ， 周五 还是 出现 了 与 过去 一 周 主导 谈判 的 口头 烟花 。	尽管 如此 ， 周五 还是 出现 了 与 过去 一 周 主导 谈判 的 口头 烟花 。	[(0, 4), (2, 3), (3, 5), (7, 13), (8, 14), (9, 15), (14, 12), (17, 8), (18, 10), (19, 16)]
d000.s012	U.S. special climate envoy Todd Stern rejected language requiring binding cuts of greenhouse-gas emissions for industrialized countries compared with voluntary ones by major emerging economies if they were not funded by the developed world .	美国气候特使托德·斯特恩（ Todd Stern ）拒绝了要求工业化国家与主要新兴经济体在没有发达国家资助的情况下自愿削减温室气体排放相比具有约束力的措辞。	u.s. special climate envoy todd stern reject language require binding cut of greenhouse-gas emission for industrialized country compare with voluntary one by major emerge economy if they be not fund by the developed world .	美国 气候 特使 托德·斯特恩 （ Todd Stern ） 拒绝 了 要求 工业化 国家 与 主要 新兴 经济体 在 没有 发达 国家 资助 的 情况 下 自愿 削减 温室 气体 排放 相比 具有 约束力 的 措辞 。	美国 气候 特使 托德·斯特恩 （ Todd Stern ） 拒绝 了 要求 工业化 国家 与 主要 新兴 经济体 在 没有 发达 国家 资助 的 情况 下 自愿 削减 温室 气体 排放 相比 具有 约束力 的 措辞 。	[(0, 0), (1, 2), (2, 1), (4, 5), (6, 8), (7, 6), (8, 10), (9, 32), (11, 22), (12, 27), (13, 29), (15, 11), (16, 12), (18, 13), (19, 25), (22, 14), (23, 15), (24, 16), (25, 17), (28, 18), (29, 21), (32, 19), (33, 20), (34, 35)]
d000.s013	The move signaled that the Obama administration is taking a harder line with China than Bush administration officials did just two years ago .	此举表明，奥巴马政府对中国的态度比布什政府官员两年前更加强硬。	the move signal that the obama administration be take a hard_line with china than bush_administration official do just two year ago .	此举 表明 ， 奥巴马 政府 对 中国 的 态度 比 布什 政府 官员 两 年前 更加 强硬 。	此举 表明 ， 奥巴马 政府 对 中国 的 态度 比 布什 政府 官员 两 年前 更加 强硬 。	[(0, 0), (2, 1), (5, 3), (6, 4), (8, 8), (9, 7), (11, 5), (12, 6), (13, 9), (14, 11), (15, 12), (18, 13), (21, 17)]
d000.s014	The United States is not going to do a deal without the major developing countries stepping up and taking action , said Stern , who also complained that the text did not do enough to make sure the cuts could be verified by outside observers .	斯特恩说，如果主要发展中国家不加强并采取行动，美国就不会达成协议。斯特恩还抱怨说，该案文在确保外部观察员可以核实减产方面做得不够。	the united_states be not go to do a deal without the major developing_country step up and take action , say stern , who also complain that the text do not do enough to make sure the cut could be verify by outside observer .	斯特恩 说 ， 如果 主要 发展中国家 不 加强 并 采取 行动 ， 美国 就 不 会 达成 协议 。 斯特恩 还 抱怨 说 ， 该 案文 在 确保 外部 观察员 可以 核实 减产 方面 做 得 不够 。	斯特恩 说 ， 如果 主要 发展中国家 不 加强 并 采取 行动 ， 美国 就 不 会 达成 协议 。 斯特恩 还 抱怨 说 ， 该 案文 在 确保 外部 观察员 可以 核实 减产 方面 做 得 不够 。	[(3, 14), (5, 15), (6, 16), (8, 17), (11, 4), (12, 12), (13, 7), (15, 8), (16, 9), (17, 10), (19, 1), (20, 0), (21, 18), (23, 20), (24, 21), (26, 28), (27, 25), (29, 6), (30, 34), (31, 36), (32, 27), (35, 24), (37, 30), (42, 29), (43, 37)]
d000.s015	Stern made his comments an hour after Chinese vice foreign minister He Yafei said America 's top climate negotiator was either lacking `` common sense '' or being `` extremely irresponsible '' for saying earlier in the week that the United States would not help China financially to cope with global warming .	在中国外交部副部长何亚非表示美国首席气候谈判代表要么缺乏“常识” ，要么在本周早些时候表示美国不会在财政上帮助中国应对全球变暖“极不负责任”一小时后，斯特恩发表了上述言论。	stern make he comment a hour after chinese vice foreign_minister he yafeus say america 's top climate negotiator be either lack `` common_sense '' or be `` extremely irresponsible '' for say earlier in the week that the united_states would not help china financially to cope with global_warming .	在 中国 外交部 副部长 何亚非 表示 美国 首席 气候 谈判 代表 要么 缺乏 “ 常识 ” ， 要么 在 本周 早些时候 表示 美国 不 会 在 财政 上 帮助 中国 应对 全球 变暖 “ 极 不 负责任 ” 一 小时 后 ， 斯特恩 发表 了 上述 言论 。	在 中国 外交部 副部长 何亚非 表示 美国 首席 气候 谈判 代表 要么 缺乏 “ 常识 ” ， 要么 在 本周 早些时候 表示 美国 不 会 在 财政 上 帮助 中国 应对 全球 变暖 “ 极 不 负责任 ” 一 小时 后 ， 斯特恩 发表 了 上述 言论 。	[(0, 42), (3, 46), (4, 38), (5, 39), (6, 40), (7, 4), (8, 3), (9, 9), (10, 4), (11, 4), (12, 5), (13, 6), (14, 7), (15, 7), (16, 8), (17, 10), (19, 11), (20, 12), (21, 13), (22, 14), (23, 15), (24, 17), (25, 18), (26, 33), (27, 34), (28, 35), (29, 37), (31, 21), (32, 20), (33, 44), (34, 31), (35, 19), (36, 22), (37, 25), (38, 22), (39, 24), (40, 23), (41, 28), (42, 29), (43, 27), (44, 43), (45, 30), (47, 32), (48, 47)]
d000.s016	With the future economic trajectory of the world 's major powers at stake , fault lines have erupted both within the developing world and between the industrial world and emerging economies .	随着世界主要大国未来的经济轨迹受到威胁，断层线在发展中国家内部以及工业世界和新兴经济体之间爆发。	with the future economic trajectory of the world 's major_power at stake , fault_line have erupt both within the develop world and between the industrial world and emerge economy .	随着 世界 主要 大国 未来 的 经济 轨迹 受到 威胁 ， 断层线 在 发展中国家 内部 以及 工业 世界 和 新兴 经济体 之间 爆发 。	随着 世界 主要 大国 未来 的 经济 轨迹 受到 威胁 ， 断层线 在 发展中国家 内部 以及 工业 世界 和 新兴 经济体 之间 爆发 。	[(0, 0), (2, 4), (3, 6), (4, 7), (5, 5), (7, 1), (9, 3), (11, 9), (13, 11), (15, 22), (20, 17), (21, 15), (22, 21), (26, 18), (28, 20), (29, 23)]
d000.s017	The current battle is as much about saving individual economies as saving the planet , with China and United States feuding over their respective obligations while poorer nations insist that the world 's two dozen most influential countries are ignoring the scientific imperative to take bolder action .	目前的战斗既是为了拯救个别经济体，也是为了拯救地球，中国和美国就各自的义务发生争执，而较贫穷的国家则坚持认为，世界上二十几个最具影响力的国家正在忽视采取更大胆行动的科学必要性。	the current battle be as much about save individual economy as save the planet , with china and united_states feud over they respective obligation while poorer nation insist that the world 's two_dozen most influential country be ignore the scientific imperative to take bolder action .	目前 的 战斗 既 是 为了 拯救 个别 经济体 ， 也 是 为了 拯救 地球 ， 中国 和 美国 就 各自 的 义务 发生 争执 ， 而 较 贫穷 的 国家 则 坚持 认为 ， 世界 上 二十几 个 最 具 影响力 的 国家 正在 忽视 采取 更 大胆 行动 的 科学 必要性 。	目前 的 战斗 既 是 为了 拯救 个别 经济体 ， 也 是 为了 拯救 地球 ， 中国 和 美国 就 各自 的 义务 发生 争执 ， 而 较 贫穷 的 国家 则 坚持 认为 ， 世界 上 二十几 个 最 具 影响力 的 国家 正在 忽视 采取 更 大胆 行动 的 科学 必要性 。	[(2, 2), (3, 4), (6, 5), (7, 13), (8, 38), (9, 8), (11, 6), (12, 14), (15, 19), (16, 16), (17, 17), (18, 8), (22, 20), (23, 22), (25, 28), (26, 43), (27, 32), (30, 35), (31, 21), (33, 39), (35, 30), (36, 23), (37, 45), (39, 51), (40, 52), (41, 47), (42, 46), (44, 49), (45, 53)]
d000.s018	Ricardo Ulate , a Costa Rican delegate , said it 's not surprising that the major powers are fighting over who should bear the costs for curbing greenhouse gases , even as vulnerable countries have become more aggressive in seeking to hold the big emitters accountable for their actions .	哥斯达黎加代表里卡多·乌拉特（ Ricardo Ulate ）表示，各大国正在争夺谁应该承担遏制温室气体的成本，这并不奇怪，尽管脆弱国家已经更加积极地寻求让大排放国对其行动负责。	ricardo ulate , a costa rican delegate , say it ' not surprising that the major_power be fight over who should bear the cost for curb greenhouse_gas , even as vulnerable country have become more aggressive in seek to hold the big emitter accountable for they action .	哥斯达黎加 代表 里卡多·乌拉特 （ Ricardo Ulate ） 表示 ， 各 大国 正在 争夺 谁 应该 承担 遏制 温室 气体 的 成本 ， 这 并不 奇怪 ， 尽管 脆弱 国家 已经 更加 积极 地 寻求 让 大 排放国 对 其 行动 负责 。	哥斯达黎加 代表 里卡多·乌拉特 （ Ricardo Ulate ） 表示 ， 各 大国 正在 争夺 谁 应该 承担 遏制 温室 气体 的 成本 ， 这 并不 奇怪 ， 尽管 脆弱 国家 已经 更加 积极 地 寻求 让 大 排放国 对 其 行动 负责 。	[(0, 2), (1, 5), (3, 10), (4, 0), (6, 1), (8, 7), (11, 23), (12, 24), (13, 38), (17, 12), (19, 13), (20, 14), (21, 15), (22, 22), (23, 20), (25, 16), (26, 18), (28, 26), (30, 27), (31, 28), (32, 29), (34, 30), (35, 31), (38, 33), (39, 34), (41, 35), (42, 36), (43, 40), (44, 37), (46, 39), (47, 41)]
d000.s019	This is clearly a game where a new economic hegemony is being developed , said Ulate , who also serves as the regional Mexico and Central America climate change adviser for Conservation International .	乌拉特说，这显然是一场正在发展新的经济霸权的游戏，他也是国际保护组织的墨西哥和中美洲地区气候变化顾问。	this be clearly a game where a new economic hegemony be be develop , say ulate , who also serve as the regional mexico and central_america climate_change adviser for conservation international .	乌拉特 说 ， 这 显然 是 一 场 正在 发展 新 的 经济 霸权 的 游戏 ， 他 也 是 国际 保护 组织 的 墨西哥 和 中美洲 地区 气候 变化 顾问 。	乌拉特 说 ， 这 显然 是 一 场 正在 发展 新 的 经济 霸权 的 游戏 ， 他 也 是 国际 保护 组织 的 墨西哥 和 中美洲 地区 气候 变化 顾问 。	[(0, 3), (1, 5), (2, 4), (3, 6), (4, 15), (6, 11), (7, 10), (8, 12), (9, 13), (12, 9), (14, 1), (15, 0), (17, 17), (18, 18), (22, 27), (23, 24), (24, 25), (25, 26), (26, 28), (27, 30), (29, 22), (30, 20), (31, 31)]
d000.s020	Some of the countries most vulnerable to the impact of climate change indicated they would continue to push for a legally binding treaty in Copenhagen , although most of the major participants say the talks will produce a political deal at best .	一些最容易受到气候变化影响的国家表示，他们将继续推动在哥本哈根达成一项具有法律约束力的条约，尽管大多数主要与会者表示，谈判最多只能产生政治协议。	some of the country most vulnerable to the impact of climate_change indicate they would continue to push for a legally bind treaty in copenhagen , although most of the major participant say the talk will produce a political deal at best .	一些 最 容易 受到 气候 变化 影响 的 国家 表示 ， 他们 将 继续 推动 在 哥本哈根 达成 一 项 具有 法律 约束力 的 条约 ， 尽管 大多数 主要 与会者 表示 ， 谈判 最多 只能 产生 政治 协议 。	一些 最 容易 受到 气候 变化 影响 的 国家 表示 ， 他们 将 继续 推动 在 哥本哈根 达成 一 项 具有 法律 约束力 的 条约 ， 尽管 大多数 主要 与会者 表示 ， 谈判 最多 只能 产生 政治 协议 。	[(0, 0), (3, 8), (4, 1), (6, 3), (8, 6), (9, 7), (10, 5), (11, 9), (12, 11), (14, 13), (15, 14), (18, 18), (21, 24), (22, 15), (23, 16), (25, 26), (29, 28), (30, 29), (31, 30), (33, 32), (34, 12), (35, 35), (36, 23), (37, 36), (39, 33), (41, 38)]
d000.s021	The Alliance of Small Island States , which has 43 members , produced a 24-page draft treaty proposal early Friday morning .	由43个成员组成的小岛屿国家联盟于周五凌晨提出了一份长达24页的条约提案草案。	the alliance of small island state , which have 43 member , produce a 24-page draft treaty proposal early friday morning .	由 43 个 成员 组成 的 小 岛屿 国家 联盟于 周五 凌晨 提出 了 一 份 长 达 24 页 的 条约 提案 草案 。	由 43 个 成员 组成 的 小 岛屿 国家 联盟于 周五 凌晨 提出 了 一 份 长 达 24 页 的 条约 提案 草案 。	[(1, 9), (2, 5), (3, 6), (4, 7), (5, 8), (9, 1), (10, 3), (12, 12), (13, 14), (14, 18), (15, 23), (16, 21), (17, 22), (19, 10), (20, 11), (21, 24)]
d000.s022	Artur Runge-Metzger , who heads international climate negotiations on behalf of the European Commission , said the push by small island nations has `` put political pressure on the entire political process , '' in part because they are now unified and demanding action from emerging economies such as China and India .	代表欧盟委员会负责国际气候谈判的阿图尔·龙格-梅茨格（ Artur Runge-Metzger ）表示，小岛屿国家的推动“对整个政治进程施加了政治压力” ，部分原因是他们现在团结一致，要求中国和印度等新兴经济体采取行动。	artur runge-metzger , who head international climate negotiation on behalf of the european commission , say the push by small island nation have `` put political pressure on the entire political process , '' in part because they be now unify and demand action from emerge economy such as china and india .	代表 欧盟 委员会 负责 国际 气候 谈判 的 阿图尔·龙格-梅茨格 （ Artur Runge - Metzger ） 表示 ， 小 岛屿 国家 的 推动 “ 对 整个 政治 进程 施加 了 政治 压力 ” ， 部分 原因 是 他们 现在 团结 一致 ， 要求 中国 和 印度 等 新兴 经济体 采取 行动 。	代表 欧盟 委员会 负责 国际 气候 谈判 的 阿图尔·龙格-梅茨格 （ Artur Runge - Metzger ） 表示 ， 小 岛屿 国家 的 推动 “ 对 整个 政治 进程 施加 了 政治 压力 ” ， 部分 原因 是 他们 现在 团结 一致 ， 要求 中国 和 印度 等 新兴 经济体 采取 行动 。	[(0, 8), (1, 8), (4, 3), (5, 4), (6, 5), (7, 6), (8, 0), (10, 7), (12, 1), (13, 2), (15, 15), (16, 20), (17, 21), (19, 17), (20, 18), (21, 19), (23, 22), (24, 27), (25, 29), (26, 30), (27, 23), (29, 24), (30, 25), (31, 26), (32, 50), (33, 31), (34, 28), (35, 33), (36, 35), (37, 36), (39, 37), (40, 38), (41, 45), (42, 41), (43, 49), (45, 46), (46, 47), (49, 42), (50, 43), (51, 44), (52, 50)]
d000.s023	The talks took on new urgency as delegates focused on the fact that they must resolve most of the outstanding issues before the heads of government arrive to strike a deal .	会谈具有新的紧迫性，因为代表们关注的事实是，他们必须在政府首脑到达达成协议之前解决大多数悬而未决的问题。	the talk take on new urgency as delegate focus on the fact that they must resolve most of the outstanding issue before the head of government arrive to strike a deal .	会谈 具有 新 的 紧迫性 ， 因为 代表们 关注 的 事实 是 ， 他们 必须 在 政府 首脑 到达 达成 协议 之前 解决 大多数 悬而未决 的 问题 。	会谈 具有 新 的 紧迫性 ， 因为 代表们 关注 的 事实 是 ， 他们 必须 在 政府 首脑 到达 达成 协议 之前 解决 大多数 悬而未决 的 问题 。	[(1, 0), (2, 1), (4, 2), (5, 4), (7, 7), (8, 8), (9, 6), (11, 10), (13, 13), (14, 14), (17, 9), (20, 26), (21, 21), (23, 17), (24, 3), (25, 16), (26, 18), (27, 22), (28, 19), (29, 25), (30, 20), (31, 27)]
d000.s024	High-level officials such as Indian environment minister Jairam Ramesh and the Chinese vice minister stepped off planes and raced through the Bella Center 's halls to closed-door meetings and news conferences so they could stake out claims that will be arbitrated over the next week .	印度环境部长贾伊拉姆·拉梅什（ Jairam Ramesh ）和中国副部长等高级官员下飞机，穿过贝拉中心的大厅，参加闭门会议和新闻发布会，以便他们能够分散将在下周仲裁的索赔。	high-level official such as indian environment minister jairam ramesh and the chinese vice minister step off plane and race through the bellum center 's hall to closed-door meeting and news_conference so they could stake out claim that will be arbitrate over the next week .	印度 环境 部长 贾伊拉姆·拉梅什 （ Jairam Ramesh ） 和 中国 副部长 等 高级 官员 下 飞机 ， 穿过 贝拉 中心 的 大厅 ， 参加 闭门 会议 和 新闻 发布会 ， 以便 他们 能够 分散 将 在 下周 仲裁 的 索赔 。	印度 环境 部长 贾伊拉姆·拉梅什 （ Jairam Ramesh ） 和 中国 副部长 等 高级 官员 下 飞机 ， 穿过 贝拉 中心 的 大厅 ， 参加 闭门 会议 和 新闻 发布会 ， 以便 他们 能够 分散 将 在 下周 仲裁 的 索赔 。	[(0, 12), (1, 13), (4, 0), (5, 1), (6, 2), (7, 5), (8, 6), (9, 8), (11, 9), (12, 10), (13, 10), (15, 14), (16, 15), (17, 11), (18, 17), (19, 17), (22, 19), (23, 38), (24, 21), (25, 23), (26, 24), (27, 25), (28, 26), (29, 27), (30, 30), (31, 31), (32, 32), (35, 39), (37, 34), (38, 35), (41, 20), (42, 36), (44, 40)]
