bn:00000127n	小时
bn:00032381n	照片
bn:00032661n	因素
bn:00033729n	方式
bn:00033750n	诡计
bn:00033960n	精神
bn:00034265n	田地
bn:00034265n	领域
bn:00034394n	号码
bn:00034394n	数字
bn:00034471n	电影
bn:00035211n	轨迹
bn:00035851n	上午
bn:00035907n	类
bn:00036202n	法国
bn:00036512n	周五
bn:00036512n	星期五
bn:00036837n	官员
bn:00036838n	表现
bn:00036839n	基金
bn:00037181n	游戏
bn:00037187n	游戏
bn:00040847n	目标
bn:00040851n	守门员
bn:00041200n	部长
bn:00041239n	水平
bn:00041853n	培训
bn:00041942n	小组
bn:00041948n	会议
bn:00042090n	嘉宾
bn:00042601n	一半
bn:00042601n	半
bn:00042663n	大厅
bn:00043267n	问题
bn:00043539n	霸权
bn:00044654n	荣誉
bn:00044967n	旅馆
bn:00045153n	世界
bn:00045800n	思想
bn:00046019n	移民
bn:00046157n	贫困
bn:00046294n	挑衅
bn:00046418n	指数
bn:00046418n	指标
bn:00046516n	个人
bn:00046575n	工业
bn:00046926n	灵感
bn:00047077n	关注
bn:00047077n	利益
bn:00047203n	代表
bn:00047356n	研究者
bn:00047358n	投资
bn:00047367n	投资者
bn:00047679n	以色列
bn:00047688n	问题
bn:00047831n	猫咪
bn:00048242n	问题
bn:00048461n	记者
bn:00048488n	法官
bn:00048592n	六月
bn:00048592n	六月份
bn:00048655n	法律
bn:00048657n	陪审员
bn:00048658n	陪审团
bn:00049570n	劳动力
bn:00049570n	劳工
bn:00050249n	法律
bn:00050371n	领导人
bn:00050375n	领导力
bn:00050522n	左派
bn:00050920n	负债
bn:00051054n	生命
bn:00051117n	光明
bn:00051250n	限制
bn:00051251n	限制
bn:00052050n	损失
bn:00052052n	损失
bn:00052148n	低
bn:00052571n	机械
bn:00053318n	三月份
bn:00053460n	市场
bn:00053531n	妻子
bn:00053772n	比赛
bn:00054277n	成员
bn:00054523n	讯息
bn:00054693n	墨西哥
bn:00054897n	星期三
bn:00055094n	分钟
bn:00055180n	外交部
bn:00055504n	例行
bn:00055644n	钱
bn:00057368n	网
bn:00057546n	新闻
bn:00057562n	记者
bn:00057614n	尼加拉瓜
bn:00058511n	障碍
bn:00058969n	一
bn:00059168n	看法
bn:00059171n	裁决
bn:00059480n	组织
bn:00059768n	空间
bn:00059788n	产出
bn:00059790n	产出
bn:00060340n	巴拿马
bn:00060767n	区域
bn:00060767n	地区
bn:00060799n	球员
bn:00060928n	过去
bn:00061005n	道路
bn:00061054n	做法
bn:00061054n	实际
bn:00061325n	惩罚
bn:00061450n	人
bn:00061606n	时期
bn:00061666n	取代
bn:00061757n	秘鲁
bn:00061826n	请愿书
bn:00061898n	阶段
bn:00062576n	管工
bn:00062759n	节目
bn:00062759n	计划
bn:00062777n	行星
bn:00062929n	戏
bn:00063218n	点
bn:00063330n	政策
bn:00063739n	可能
bn:00063739n	可能性
bn:00064077n	原则
bn:00064192n	规则
bn:00064234n	总统
bn:00064262n	压力
bn:00064536n	进程
bn:00064601n	教授
bn:00064767n	比例
bn:00064776n	提案
bn:00064839n	保护
bn:00064914n	州
bn:00066343n	反应
bn:00066516n	衰退
bn:00066576n	记录
bn:00066577n	记录
bn:00066884n	区域
bn:00066884n	地区
bn:00067239n	委内瑞拉
bn:00067280n	研究
bn:00067810n	右派
bn:00068622n	俄罗斯
bn:00068696n	星期六
bn:00069579n	策略
bn:00069670n	科学
bn:00070056n	赛季
bn:00070104n	第二
bn:00070459n	参议院
bn:00070648n	服务员
bn:00070725n	定居点
bn:00071315n	表演
bn:00071869n	形势
bn:00071869n	情况
bn:00072566n	社会
bn:00072653n	领土
bn:00073699n	团队
bn:00074010n	国家
bn:00074759n	结构
bn:00074900n	议题
bn:00075151n	夏季
bn:00075331n	支持
bn:00075761n	制度
bn:00075959n	人才
bn:00076496n	趋势
bn:00076677n	证词
bn:00076732n	案文
bn:00076744n	星期四
bn:00077267n	时间
bn:00077924n	教练
bn:00078365n	胜利
bn:00078546n	星期二
bn:00078738n	年
bn:00078798n	类型
bn:00079045n	失业
bn:00079940n	受害者
bn:00079944n	得主
bn:00080439n	战争
bn:00080687n	波
bn:00080816n	周末
bn:00081568n	工作
bn:00081593n	工人
bn:14866890n	裁判
